id,sku,sku_normalized,vendor_sku,source_vendor,product_code,name,description,features,brand,category,subcategory,msrp,original_retail,cost,map_price,has_map_policy,ad_policy,dropship_fee,stock_quantity,warehouse_wi,warehouse_ny,warehouse_tx,warehouse_nv,warehouse_nc,in_stock,weight,height_in,length_in,width_in,uom,upc,country_of_origin,hazardous_code,truck_only,no_ship_ca,pfas,harmonized_us,image_url,image_urls,fitment_year_start,fitment_year_end,fitment_year_ranges,fitment_hd_families,fitment_hd_models,fitment_hd_codes,fitment_other_makes,is_harley_fitment,is_universal,in_oldbook,in_fatbook,drag_part,closeout,is_active,is_discontinued,oem_part_number,brand_code,enrichment_sku,oldbook_page,fatbook_page,part_add_date,slug,created_at,updated_at
102373,01343179,01343179,705004,PU,A,LINER ATS1R BK XS,,,6D HELMETS,,,56.00,56.00,36.63,,f,t,9.75,4,2,0,0,2,0,t,0.200,2.000,9.000,8.010,EA,0659061829008,CN,,f,f,N,6507.00.0000,,,,,,,,,,f,f,f,f,f,f,t,f,705004,,,0,0,2022-04-20,liner-ats1r-bk-xs-01343179,2026-04-10 12:48:21.474812+00,2026-04-10 12:48:21.474812+00
106861,05040271,05040271,TM2097,PU,E,Chin Spoiler,Chin Spoiler,"{""Hand-laid fiberglass construction with a gel coat finish"",""Help fill the gap between the wheel and the front of the frame to add a custom finishing touch to a Bagger"",""Include all necessary hardware and grille insert"",""Made in the USA""}",TRASK,,,399.95,399.95,300.00,,f,t,9.75,4,1,0,1,1,1,t,4.000,12.750,24.000,12.010,EA,,US,,f,f,N,8714.10.0050,http://asset.lemansnet.com/z/bWVkaWEvMjMyOWZiNzctZDgwNy00NzFlLTg2NmQtNjJlMDU2NDRiNzlmLC9ELzgvQy9EOEMwMjJCMC1FQUY0LTQ3NDUtODg4My1EM0QyMzYzNEU4RkQ=,{http://asset.lemansnet.com/z/bWVkaWEvMjMyOWZiNzctZDgwNy00NzFlLTg2NmQtNjJlMDU2NDRiNzlmLC9ELzgvQy9EOEMwMjJCMC1FQUY0LTQ3NDUtODg4My1EM0QyMzYzNEU4RkQ=},,,,,,,,f,f,f,t,t,f,t,f,TM-2097,,0504-0271,0,1739,2014-12-11,chin-spoiler-05040271,2026-04-10 12:48:23.83518+00,2026-04-10 12:48:23.83518+00
61660,38070597,38070597,TM391,WPS,,CHARGER OPTIMATE LITH 6A,CHARGER OPTIMATE LITH 6A,,TECMATE,Electrical,,154.95,,107.20,107.20,f,f,,93,0,0,0,0,0,t,2.750,,,,,,,,f,f,,,,,,,,,,,,f,f,f,f,f,f,t,f,,,,,,,charger-optimate-lith-6a-38070597,2026-04-10 12:47:57.454409+00,2026-04-10 12:47:57.454409+00
11255,6510168,6510168,6510168,WPS,,"CABLE,CRUISE,BRAID 38""",,,DRAG SPECIALTIES,Cable/Hydraulic Control Lines,,91.62,,59.33,91.62,f,f,,7,0,0,0,0,0,t,,,,,Each,,,,f,f,,,,,,,,,,,,f,f,f,f,f,f,t,f,,,,,,,cable-cruise-braid-38-6510168,2026-04-10 12:47:35.267661+00,2026-04-10 12:47:35.267661+00
46981,20012314,20012314,PB7TRSEQ2C,WPS,,TRIM RING CHR SEQ TSGNAL,TRIM RING CHR SEQ TSGNAL,,CUSTOM DYNAMICS,Wheels,,249.95,,175.00,175.00,f,f,,26,0,0,0,0,0,t,2.200,,,,,,,,f,f,,,,,,,,,,,,f,f,f,f,f,f,t,f,,,,,,,trim-ring-chr-seq-tsgnal-20012314,2026-04-10 12:47:50.808973+00,2026-04-10 12:47:50.808973+00
4717,33013313,33013313,15010804004,WPS,,GLOVES MOTO R/B/W LG,"Two-way stretch polyester back panel construction for comfort
Single-layer synthetic leather palm with reinforced thumb
Adjustable wrist wrap with Velcro closure and thermoplastic rubber Biltwell shield
Lycra® expansion panels in finger joints for enhanced dexterity
Accordion baffles on finger joints for added flexibility
Rugged single- and double-needle polyester stitching
Smart screen thumb and finger tips",,BILTWELL,Apparel,,29.95,,18.00,29.95,f,f,,12,0,0,0,0,0,t,0.250,,,,Pair,,,,f,f,,,,,,,,,,,,f,f,f,f,f,f,t,f,,,,,,,gloves-moto-r-b-w-lg-33013313,2026-04-10 12:47:31.737685+00,2026-04-10 12:47:31.737685+00
108350,06014299,06014299,,PU,E,"1-1/2"" ""Big"" Buffalo Drag Bar","1-1/2"" ""Big"" Buffalo Drag Bar","{""Handlebars for the \""biggest fattest\"" look"",""Features a full 1-1/2\"" diameter in the clamping area"",""Designed for use with '96 and newer style controls and master cylinders"",""Special risers required for all bars"",""Made in the USA""}",DRAG SPECIALTIES,,,247.19,177.95,172.63,,f,t,9.75,1,0,1,0,0,0,t,2.160,3.500,38.000,10.510,EA,,US,,f,f,N,8714.10.0050,http://asset.lemansnet.com/z/LzcvMy9GLzczRjk0MzcwLTczMjItNDBFNi1CQzU3LUU2RDMyOEJGQ0I5NSwvQS8zLzgvQTM4RTI0RjktMkQxQS00M0QyLTg5QUEtNTk4MEVBOTVFQUE2,{http://asset.lemansnet.com/z/LzcvMy9GLzczRjk0MzcwLTczMjItNDBFNi1CQzU3LUU2RDMyOEJGQ0I5NSwvQS8zLzgvQTM4RTI0RjktMkQxQS00M0QyLTg5QUEtNTk4MEVBOTVFQUE2},,,,,,,,f,f,t,t,t,f,t,f,0601-4299,,0601-4299,774,1292,2018-04-05,1-1-2-big-buffalo-drag-bar-06014299,2026-04-10 12:48:24.538409+00,2026-04-10 12:48:24.538409+00
61969,38120783,38120783,SBKH,WPS,,TOOL KIT SWITCHBACK KTM/HUSQ,TOOL KIT SWITCHBACK KTM/HUSQ,,CRUZTOOLS,Tools,,79.95,,51.70,51.70,f,f,,62,0,0,0,0,0,t,1.720,,,,,,,,f,f,,,,,,,,,,,,f,f,f,f,f,f,t,f,,,,,,,tool-kit-switchback-ktm-husq-38120783,2026-04-10 12:47:57.454409+00,2026-04-10 12:47:57.454409+00
123535,09280025,09280025,4091,PU,E,Fast Install® Adjustable Pushrods,Fast Install® Adjustable Pushrods,"{""Made from 7/16” diameter 4130 Chromoly steel with the same great design as the regular install Feuling® adjustable pushrods, but feature a slightly shorter tapered tube"",""Comes disassembled, allowing the engine builder to install the pushrods without removing the top rocker box"",""Features a dual-jam nut locking system and include a pushrod tube holder to hold the pushrod tubes up and out of the way while adjusting"",""Uses separate lengths for intake and exhaust which keeps the adjustment area to a minimum, creating a fast-install pushrod with maximum rigidity promoting maximum valve lift"",""Standard .095\"" wall thickness"",""Made in the U.S.A."",""Can be used with the factory pushrod tubes.""}",FEULING PARTS,,,279.95,239.95,190.12,,f,f,9.75,0,0,0,0,0,0,f,1.690,1.330,14.400,4.760,ST,,US,,f,f,N,8487.90.0080,http://asset.lemansnet.com/z/LzAvMS9FLzAxRUM3RkI1LTkyQjEtNEEyRC05M0E3LTQ0RUU2MUY4ODgxQg==,{http://asset.lemansnet.com/z/LzAvMS9FLzAxRUM3RkI1LTkyQjEtNEEyRC05M0E3LTQ0RUU2MUY4ODgxQg==},,,,,,,,f,f,t,f,t,f,t,f,4091,,0928-0025,426,0,2010-03-10,fast-install-adjustable-pushrods-09280025,2026-04-10 12:48:32.032387+00,2026-04-10 12:48:32.032387+00
135899,34052207,34052207,25103191011,PU,A,Faster-3 Rideknit® Shoes,Faster-3 Rideknit® Shoes,"{""Faster-3 Shoe incorporates class-leading protective features, both inside and outside"",""Faster-3 Shoe is constructed from a lightweight, durable microfiber chassis and com-fort-giving interior mesh, resulting in an aggressively styled road racing shoe offering performance, precision, flexibility and structural integrity"",""Upper constructed from a superbly lightweight, durable and abrasion-resistance microfiber"",""Replaceable anatomical EVA footbed with Lycra lining on top"",""3D mesh lining for excellent breathability with anti-slip micro-suede on heel"",""Thermoplastic Rubber (TPR) heel counter design ensures additional lateral support and security"",""Enhanced Thermoplastic Polyurethane (TPU) ankle extended in lower lateral area increases support and protection"",""TPR slider details on lateral toe box gives enhanced flex and protection"",""Asymmetric toe design gives protection on shift area"",""Traditional lace closure system for an easy, secure and comfortable fit"",""Lateral adjustable hook and loop closure system with TPR strap for added security"",""Medial dual density ankle protectors between the upper padded lining to provide strategic protection and flexibility in key areas"",""Tongue and collar padding provides high levels of comfort and an excellent fit around the ankle and instep"",""Internal toe box and heel counter reinforcement is layered under the upper for a more ergonomic design"",""Extremely lightweight, specifically compounded rubber sole provides textured grip, superb absorption and features an integrated support shank for enhanced sole rigidity""}",ALPINESTARS,,,239.95,199.95,163.20,,f,f,9.75,20,15,0,7,1,0,t,3.300,5.200,14.800,10.500,PR,8033637964515,VN,,f,f,N,6402.91.9035,http://asset.lemansnet.com/z/LzcvNi83Lzc2N0UwMzYxLTUxMEEtNDY4OC04RTE3LThCNUJFMzkxRjZGQw==,{http://asset.lemansnet.com/z/LzcvNi83Lzc2N0UwMzYxLTUxMEEtNDY4OC04RTE3LThCNUJFMzkxRjZGQw==},,,,,,,,f,f,f,f,f,f,t,f,2510319-10-11,,3405-2207,0,0,2018-08-06,faster-3-rideknit-shoes-34052207,2026-04-10 12:48:39.467955+00,2026-04-10 12:48:39.467955+00
84094,191-20000,19120000,,WPS,,Valve Keeper,,"{""<ul><li>OEM Style valve keepers</li></ul>""}",KPMI,Engine,,6.95,,4.69,,f,f,,0,0,0,0,0,0,f,0.040,,,,,,,,f,f,,,,,,,,,,,,f,f,f,f,f,f,t,f,,,,,,,valve-keeper-191-20000,2026-04-10 12:48:07.919284+00,2026-04-10 12:48:07.919284+00
95862,26-7114,267114,,WPS,,Ryder Ball,,"{""<ul><li>The Ryder Ball is intended to help keep the rider safe by running off evil road spirits and road demons</li><li>Available in many different designs to match the style of both men and women</li></ul>""}",RYDER CLIPS,Body,,10.94,,7.11,,f,f,,0,0,0,0,0,0,f,0.006,,,,,,,,f,f,,,http://cdn.wpsstatic.com/images/full/2904-689e2bdee17a9.jpeg,{http://cdn.wpsstatic.com/images/full/2904-689e2bdee17a9.jpeg},,,,,,,,f,f,f,f,f,f,t,f,,,,,,,ryder-ball-26-7114,2026-04-10 12:48:14.784614+00,2026-04-10 12:48:14.784614+00
132558,30312607,30312607,1688340,PU,C,Women's Honda V-Neck T-Shirt - Black - Small,Women's Honda V-Neck T-Shirt - Black - Small,"{""Honda branding screen printed on the chest of the t-shirt"",""Official licensed product""}",FACTORY EFFEX,,,29.95,29.95,19.50,,f,f,9.75,9,9,0,0,0,0,t,1.000,1.610,9.400,5.990,EA,,US,,f,f,N,6109.10.0040,http://asset.lemansnet.com/z/LzkvQS8xLzlBMUJGNzFELTVBQzQtNDVGNi1BM0Y3LTIzQTNFQUQ2MDBCQQ==,{http://asset.lemansnet.com/z/LzkvQS8xLzlBMUJGNzFELTVBQzQtNDVGNi1BM0Y3LTIzQTNFQUQ2MDBCQQ==},,,,,,,{Honda},f,f,f,f,f,f,t,f,16-88340,FHKM,3031-2607,0,0,2015-06-23,women-s-honda-v-neck-t-shirt-black-small-30312607,2026-04-10 12:48:37.760216+00,2026-04-10 12:48:37.760216+00
56243,26101389,26101389,BGSE101HD,WPS,,SUNGLS GOOSE GLOSS SLATE,SUNGLS GOOSE GLOSS SLATE,,BOBSTER,Tire & Wheel,,49.98,,24.99,24.99,f,f,,26,0,0,0,0,0,t,0.150,,,,,,,,f,f,,,,,,,,,,,,f,f,f,f,f,f,t,f,,,,,,,sungls-goose-gloss-slate-26101389,2026-04-10 12:47:54.991061+00,2026-04-10 12:47:54.991061+00
44503,18113392,18113392,SH10SO17HAPXLT/1,WPS,,MUFLER S-H10SO17-HAPXLT/1,MUFLER S-H10SO17-HAPXLT/1,,AKRAPOVIC,Tire & Wheel,,1744.55,,1307.68,1307.68,f,f,,6,0,0,0,0,0,t,12.200,,,,,,,,f,f,,,,,,,,,,,,f,f,f,f,f,f,t,f,,,,,,,mufler-s-h10so17-hapxlt-1-18113392,2026-04-10 12:47:49.99246+00,2026-04-10 12:47:49.99246+00
54635,24010601,24010601,77032,WPS,,AXLE ADJ SPSTER 52-80 CHR,AXLE ADJ SPSTER 52-80 CHR,,COLONY,Tire & Wheel,,27.95,,18.10,18.10,f,f,,30,0,0,0,0,0,t,0.330,,,,,,,,f,f,,,,,,,,,,,,f,f,f,f,f,f,t,f,,,,,,,axle-adj-spster-52-80-chr-24010601,2026-04-10 12:47:54.298384+00,2026-04-10 12:47:54.298384+00
88513,478-10936T,47810936T,,WPS,,Terra Trek Pants,,"{""<ul><li>600D polyester outer shell with fully taped seams</li><li>Hydraguard - Weatherproof technology</li><li>Windproof, waterproof, breathable</li><li>1680D at critical wear areas</li><li>CE Level 1 removable knee armor - conforms to EN 1621-1 standard</li><li>Hip armor pockets - compatible with FLY Barricade CE armor</li><li>High-visibility reflective panels and logos for added safety</li><li>Removable thermal liner</li><li>8” attachment zipper connects to jacket</li><li>Accordion back panel for maximum flexibility</li><li>Adjustable knee armor pockets accommodates different heights</li><li>Belt loops for refined adjustment</li><li>Cargo pockets for added storage</li><li>Gusseted dual snap fly for added water protection</li><li>Hi-rise back for full coverage in riding position</li><li>Hook and loop adjustable leg cuffs</li><li>Hook and Loop waist adjusters for customized fit</li><li>Intake and exhaust vents</li><li>Water-resistant pocket zippers</li><li>Anatomically fitted for ideal riding position</li></ul>""}",FLY RACING,Pants,,279.95,,172.99,279.95,f,f,,0,0,0,0,0,0,f,3.300,,,,,,,,f,f,,,http://cdn.wpsstatic.com/images/full/d6a3-61d491ea33d0a.jpg,"{http://cdn.wpsstatic.com/images/full/d6a3-61d491ea33d0a.jpg,http://cdn.wpsstatic.com/images/full/3954-61d491ea42601.jpg,http://cdn.wpsstatic.com/images/full/129e-61d491ea39409.jpg,http://cdn.wpsstatic.com/images/full/a679-61d491e960491.jpg}",,,,,,,,f,f,f,f,f,f,t,f,,,,,,,terra-trek-pants-478-10936t,2026-04-10 12:48:10.305293+00,2026-04-10 12:48:10.305293+00
