id,name,vendor_sku,change_to
82778,Chrome Stock Headbolt with Aluminum Heads,8216-18,
69636,Chrome Universal Mount Clamp Set 1-1/8 inch,31-0696,
69638,Chrome Universal Mount Clamp Set 1-3/8 inch,31-0698,
69635,Chrome Universal Mount Clamp Set 1 inch,31-0695,
57136,"CHUBBY 10"" OUTLAWZ BLACK FLTR 24-25  ST 25",830-0610NCB,
57135,"CHUBBY 10"" OUTLAWZ CHROME FLTR 24-25  ST 25",830-0610NC,
57098,"CHUBBY 12"" OUTLAWZ BLACK FLTR 24-25  ST 25",830-0612NCB,
57137,"CHUBBY 12"" OUTLAWZ CHROME FLTR 24-25  ST 25",830-0612NC,
37325,"CHUBBY 16"" OUTLAWZ BLACK FLTR 24-25  ST 25",830-0616NCB,
37034,"CHUBBY 16"" OUTLAWZ CHROME FLTR 24-25  ST 25",830-0616NC,
95134,Clamp on Rear Mount Block,49-1987,
95135,Clamp on Rear Mount Connector,49-1988,
72354,Clamp On USB Charger Outlet,33-1699,
82100,Cleveland Greeting Card,68-0020,
65914,Coil Mounting Kit,2327-23,
92706,Coil Set Screw,37-1040,
82101,Comics Greeting Card,68-0021,
92700,Condenser Mount Screw,37-1033,
66099,Cone Cover Nut Cone Type,24-0663,
88120,Cone Cover Nut Hex Type Chrome,24-0113,
88285,Cone Stem Nut Chrome,24-0679,
88524,Control Coil Nuts Nickel Plated,2459-4,
15627,Cover Care Token,99041483,
80165,Cycle Ray Lens Kit,49-1741,
82977,Cylinder Base Washer Tab Black,8861-8,
82976,Cylinder Base Washer Tab Chrome,8860-8,
92992,Cylinder Washer Set Zinc,37-9074,
95088,Damper Spider Washer,49-1715,
95080,Damper Stem Screw,49-1705,
95079,Damper Stem Screw Zinc,49-1704,
79090,DEALER MARKETING DOOR PRIZE,48-0190,
79589,De Dion Motor Engine Model,48-1901,
74298,DELLORTO EMULSION TUBE #262,35-0945,
74065,DELLORTO PRIMARY JET #45,35-0386,
90740,Deutch Sealed Connector Assembly,32-7436,
91655,Diaphragm Cover Plugs Zinc,35-0349,
76774,Die Cast Tank Trim Cover Black,39-1109,
76746,Die Cast Tank Trim Cover Chrome,39-0926,
76772,Die Cast Tank Trim Cover Chrome,39-0999,
47445,DIMPLE DIE SWOOP CHIN SCOOP `17-20 FLH/T,827-05738,
57155,DJ 100 TOKEN TUNING PACK,133-4042,
57156,DJ 200 TOKEN TUNING PACK,133-4043,
57153,DJ 20 TOKEN TUNING PACK,133-4040,
57157,DJ 400 TOKEN TUNING PACK,133-4044,
57154,DJ 50 TOKEN TUNING PACK,133-4041,
79338,Dope Style Reference Guide,48-1331,
79385,Double Coat Hook,48-1398,
79656,Dress Up Ball Set Chrome,48-2321,
91363,Dual Filament Bulb Amber,33-2382,
75365,Dual Throttle Clamp Black,37-1511,
89399,Dual Type Nylon Throttle Tube,28-1981,
79170,Early Motorcycles Construction Operation Service,48-0366,
91895,EFI Module Throttle Shaft,35-2144,
91893,EFI Module Throttle Shaft,35-2141,
91894,EFI Module Throttle Shaft,35-2143,
74568,EFI Module Throttle Shaft Arm,35-2147,
90265,EFI Relay,32-0536,
