id,name,vendor_sku,change_to
63161,Kick Cover Filler Plug,17-1869,
62877,Kick Cover Lever Bushing Zicad Plated,17-0354,
519004,Knucklehead 1940-1947 Repair Manual,48-0501,
61219,Knucklehead Breather Stud Kit,12-0997,
70189,Knuckle Nut Set Cadmium Plated,3190-4,
70188,Knuckle Nut Set Chrome Plated,3189-4,
70190,Knuckle Nut Set Parkerized,3191-4,
72606,LED Stop Lamp,33-2241,
91405,Left Bearing Bushing Screws,3375-3,
56160,LICENSE SUPPORT `18-25 SCOUT BOBBER,561-9741BK,
63033,Lock and Ring Kit,17-0926,
63035,Lock Tab Assortment,17-0940,
94883,Long Headbolt,49-0276,
76170,Lower Left Outer Tank shifter Tab,38-0848,
82605,M8 x 1.25 Flange Nut Zinc,73-0402,
27653,Magic Power Blocks™,21130318,
86300,Main Bearing Race .002,17-1137,
63083,Main Bearing Race .005,17-1138,
86301,Main Bearing Race .010,17-1139,
63082,Main Bearing Race Standard,17-1136,
82674,Manifold Nipple Kit Weld-On Type,7627-4,
66007,Mega Neck Cup Set Zinc Plated,24-0308,
42628,MULTIBARBAR RUBBER PAD KIT 2/PC,830-6008,
88267,Neck Cup Cone Cover Nut Zinc,24-0622,
74288,Needle Valve Lever,35-0922,
77322,Nevr-Dull Wadding Polish,41-0119,
79876,Nickel Plated Head Primer Cups,49-0668,
495731,Nickel Plated Secondary Chain 120 Link,19-0832,
516832,NYC Electrical Ignition Cover 2 Hole,42-1748,
516834,NYC M8 Electrical Ignition Cover 2 Hole,42-1750,
516833,NYC TC-88 Electrical Ignition Cover 5 Hole,42-1749,
82509,Nyloc Nut 1/4 inch-20 Stainless Steel,73-0273,
82508,Nyloc Nut 1/4 inch-28 Stainless Steel,73-0272,
82503,Nyloc Nut 3/8 inch-24 Stainless Steel,73-0267,
82510,Nyloc Nut 5/16 inch-24 Stainless Steel,73-0274,
513014,OE Balancer Bracket Assembly,37-1107,
495690,OE Balancer Chain,19-0635,
513011,OE Balancer Shift Bolt Set,37-1104,
513010,OE Balancer Support Screws,37-1103,
90233,OE Chrome Oil Pressure Sender Unit,32-0433,
515361,OE Engine Return and Feed Fitting Assembly,40-0077,
515360,OE Engine Vent Fitting Assembly Chrome,40-0076,
93345,OE FLHT/FLTR Trim Piece Black,39-0000,
94760,OE Parts Book for 2011 VRSC,48-1311,
91864,OE Screamin' Eagle 68mm Throttle Body,35-1748,
513012,OE Sprocket Washer Set,37-1105,
93959,OE Starter Cover Chrome,42-1879,
93537,Oil Feed Valve Assembly Zinc Plated,40-0325,
96109,Oil Passage Bolt Cadmium,8772-2,
96108,Oil Passage Bolt Chrome,8771-2,
90162,Oil Pressure Sender Unit,32-0282,
90292,Oil Pressure Sender Unit,32-0586,
74584,OKO Shorty Drain Valve,35-2448,
74418,OKO Single Throttle Disc,35-1390,
79573,One Gallon Oilzum Metal Can,48-1877,
64294,"OUTOBOARD PLATE ONLY, BILLET ALUM POLISH",20-8906,
82531,Oval Phillips Screw 10-24 x 1/2 inch Stainless Steel,73-0296,
77387,Oval V-Fire Cover Chrome,42-0040,
68613,Oversized Threaded Nipple,2995-1,
519352,Paint and Number Reference Book,48-1757,
93859,Panhead Cover Set Aluminum,42-0759,
93831,Panhead Cover Set Chrome,42-0640,
93718,Panhead Cover Set Chrome,42-0103,
79059,Panhead Engine Plaque,48-0025,
75527,Panhead Grade 18-8 Machine Screw,37-6715,
75528,Panhead Grade J82 Machine Screw,37-6716,
75526,Panhead Grade J82 Steel Machine Screw,37-6714,
79583,Panhead Knucklehead Guide Set,48-1895,
83173,Parkerized Headbolt,9725-20,
83174,Parkerized Headbolt,9726-20,
77196,Parkerized Oil Pressure Sender Unit Extension,40-1421,
69424,Parkerized Servi-Car Hanger and Clamp Set,31-0000,
83162,Parkerized Stem Nut Spring,9713-1,
79266,Patent Metal Medallion Set,48-0887,
513181,Phillips Head Chrome Screw,37-2099,
92758,Phillips Head Chrome Screws,37-2096,
82518,Phillips Machine Screw 4-40 x 5/16 inch Stainless Steel,73-0283,
95200,Pivot Lock Plate,49-2575,
75470,PIVOT TUBE SPACER,37-4098,
92933,Pivot Washer Set Inner,37-8896,
79061,Polished Stainless Steel Speed Ball Wing,48-0031,
79062,Polished Stainless Steel Speed Ball Wing,48-0032,
64322,"PRIMARY BELT LARGE SPACER, BLACK OXIDE",20-8983,
64323,"PRIMARY BELT LARGE SPACER, ZINC",20-8984,
75756,Primary Cap Set Chrome,37-8991,
77868,Primary Loose Parts Kit Raw,42-1872,
91020,Radio and BCM Connector Kit,32-9712,
77373,Radio Cover,42-0009,
70806,Radio Static Plugin,32-1721,
82144,Raptor Mechanic Toy,68-0054,
85974,Ratchet Drum Cover Natural,17-0103,
89716,Rear Cowl Trim Strip,31-0247,
82940,Rear Disc Allen Bolt Set,8791-10T,
96256,Rear Disc Bolt and Nut Kit Chrome,9807-10,
83226,Rear Disc Bolt and Nut Kit Chrome,9807-10T,
91061,Rear Disc Bolt and Nut Kit Zinc,3270-10,
55251,REAR DOCKING KIT CHROME FLH/FLT 97-08,82-96551,
95206,Rear Hanger Clamp Chrome,49-2590,
95201,Rear Hanger Clamp Parkerized,49-2577,
87468,Rear Mechanical Brake Locating Block Zinc,23-0411,
93704,Rear Remote Reservoir Cover Chrome,42-0014,
68004,Rear Replacement Block Style Rubber Pad,27-2120,
81983,REPLICA BIKE KIT 1957 PANHEAD,55-1520,
68136,Replica Black Waffle Grips without Plug Hole,28-0159,
89237,Replica Black Waffle Grips with Plug Hole,28-0110,
88278,Replica Cone Cover Nut Zinc,24-0662,
93028,Replica Eccentric Points Screw,37-9235,
62856,Replica Ratchet Drum Cover Alloy,17-0289,
44199,REPL RUBBER STRIPS FOR TWINBAR 3 SHORT/3 LONG,830-5057,
77592,Ribbed Panhead Cover Set Chrome,42-0639,
89611,Ride Control Side Plate Stud Kit,3054-16,
83645,Right Crank Case Bushing Screw,12-0250,
80279,Rocker Cover Set Chrome,49-2565,
96237,Rocker Feed Line Nipple Parkerized,9701-1,
92954,Rocker Friction tab Washer,37-8954,
73898,Rocker Plate Stud Bushings,3452-4,
63492,Rodan Kick Cover Plug,18-1646,
79872,"Rod Nut Kit, 1/2 inch x 20 TPI",49-0661,
24357,"Round Pub Table - 30""",99050179,
92707,Safety Gap Plate Screw,37-1042,
57057,SANTORO TUMBLER/HANGER,750-03083,
85529,Seal Airbox Tube Base,15-1589,
90969,Sealed Connector Component 2 wire,32-9604,
85653,"SEAL WASHER, FIBRE",15-8444,
63135,Shift Cam Thrust Washers,17-1595,
92315,Shift Gate Hex Screw Zinc Plated,37-0078,
14064,Shopping Bag - 2 ml - 100 Pack,99040932,
82706,Short Stud Bushing Set,8011-4T,
74369,Shorty Idle Adjustment Screw Rubber,35-1255,
61124,Side Valve Feed Pump Kit,12-0110,
94815,Side Valve Feed Pump Upgrade,49-0094,
80193,Side Valve Feed Pump Upgrade,49-1877,
79080,Silver Dollar Concho Set,48-0133,
77321,Simi Chrome Polishing Paste,41-0117,
72518,Skull Style Ornament Chrome,33-1932,
79330,Skull with Wings Medallion Set,48-1323,
82117,Small Motorcycle Charm,68-0037,
75465,SMOOTH ALLEN KIT,37-4047,
75532,Socket Cap Bolt Chrome 1/4 inch-20 x 2-1/2 inch,37-6955,
92905,Socket Lever Pin Set Chrome,37-8823,
45910,SOFTAIL SWING ARM BUMPERS 00-17 SOFTAILS,820-5384,
79164,Spare Parts Book for 1949-1957 Panhead,48-0314,
63122,Sprocket Duo-Seal Nut and Lock Kit,17-1490,
86212,Sprocket Lock Tab,17-0905,
86474,Sprocket Washer Spacer,17-9242,
72374,Square 12 Volt Dual USB Power Charger,33-1724,
75250,"Stainless Steel Hose Clamps, #24 Size",37-0812,
504730,Stainless Steel Top Motor Mount,31-1802,
74423,Stainless Steel Worm Clamp with Phillips Screw,35-1442,
71556,Stamped Female Crimp Terminals,32-9644,
71555,Stamped Male Crimp Terminals,32-9643,
86718,Starter Block Off Kit Zinc,18-1136,
77420,Starter Cover Chrome,42-0152,
513019,Steel Sprocket Washer 1.120 inch x .0640 inch,37-1112,
66532,Support Rod Stud Repair Kit,2433-18,
92653,Switch Mounting Screws,37-0882,
92935,Switch Terminal Screws and Washers,37-8916,
69502,T-Bolt Set,31-0223,
95989,Teardrop Phillips Head Chrome Screw Set,73-0252,
70746,Terminal Board Screw Set,32-1621,
84415,Throttle and Idle Adjuster Springs,13-9169,
511362,Throttle Bushing Ferrule Set,35-2389,
91867,Throttle Friction Pad,35-1767,
62693,Thrust Bearing,16-1865,
85990,Thrust Washer Set,17-0123,
82174,Thunder Custom Motorcycle Collector Cards,68-0062,
60962,Titanium Valve Lift Kit,11-9228,
89715,Top Cowl Trim Strip Chrome,31-0246,
504531,Top Motor Mount Alloy,31-1293,
504880,Top Motor Mount Bracket,31-2913,
67075,Top Motor Mount Kit Parkerized,2578-4,
504868,Top Motor Mount Natural Stainless Steel,31-2549,
504530,Top Motor Mount Stainless,31-1292,
82146,Train Mechanic Toy,68-0056,
82143,Triceratops Mechainc Toy,68-0053,
92817,Tripper Screw,37-8256,
82141,Truck Mechanic Toy,68-0051,
93125,Truss Rod Right Front Coupling Stud Set Parkerized,3724-3,
93124,Truss Rod Right Front Coupling Stud Set Parkerized,3723-3,
79063,Twin Cam Plaque,48-0033,
64289,Ultima 2 inch Quarter Grill Pulley Cover Polished,20-8878,
64288,Ultima 3 inch Quarter Grill Pulley Cover Polished,20-8871,
75531,"ULTIMA 6-SPD BOLT,SHCS 5/16 inch-18 X 1-1/2 inch",37-6948,
75322,Ultima Binding Head Screw SAE 10-24 x 1/2 inch,37-1078,
79689,Ultima Chain Bracelet 9 inch,48-4511,
507220,Ultima Complete Electronic Wiring System,32-8530,
60779,ULTIMA COMPRESSION RELEASE VALVE,11-3772,
64427,ULTIMA COUNTER SUNK SCREW,37-5872,
87359,Ultima Elctronic Single Fire Ignition,32-1922,
75471,ULTIMA EXPLANSION PLUG,37-4117,
75507,"ULTIMA FLAT WASHER, 0.4375",37-5860,
516786,Ultima M8 Ignition Cover,42-1455,
75508,"ULTIMA NYLOC NUT, 1/4-28",37-5861,
63249,Ultima Pillow Block Assembly,17-6708,
63255,Ultima Pillow Block Assembly,17-6888,
507222,Ultima Plus Electronic Wiring System,32-8533,
78405,Ultima Pulley Brake Dual Disc Spacer Black,44-7803,
78389,Ultima Pulley Brake Dual Disc Spacer Polished,44-7802,
78508,Ultima Pulley Brake Single Disc Spacer Black,44-7801,
75327,Ultima SCHCS Bolt SAE 1/4 inch-20 x 1.25 inch,37-1083,
65801,ULTIMA SCREW,37-5876,
75326,Ultima SHCS Bolt SAE 1/4 inch-20 x 0.625 inch,37-1082,
90023,Ultima Top Engine Mount,31-5226,
75447,ULTIMA TWIN CAM 1 inch SPACER,37-2149,
63362,ULTIMA WASHER,37-5868,
64290,ULTIMA WAVE WASHER,20-8890,
70050,Universal Clamp Set,31-3933,
24346,UNLIMITED FRED FOX STORY,99013239,
83259,Upper and Lower Chrome Engine Bolts,9854-28,
