"sku","product_name","product_url","price","oem_no","fitment_raw","description","uom","finish","manufacturer","origin","catalog_pages","replacement_items","tech_note","extra_attributes","source","error"
"32-7784","Replica Horn Capacitor","https://www2.vtwinmfg.com/replica-horn-capacitor.html","$33.88","32727-63","XLCH 1958-1969 Regulates light intensity","Large 500 MFD, 25 VDC ignition capacitor regulates light intensity. It has a positive wire lead and the case is grounded. The case measures 1"" in diameter x 2-1/4"" long with mounting screw tab. *NOTE: Mounts on stock XLCH models, under the seat on the left side. The wire goes to the positive terminal on the horn feed. This allows horn sounding when headlamps are on. Gives an extra current boost when horn is blown on magneto model sportsters without a battery the wire attaches to the Bosch 12V regulator terminal ""61"". *NOTE: For use on Magneto Sportsters with 12 volt generator. There is no battery to regulate headlamp intensity.                                                           *NOTE: For use on magneto Sportster with a 12 volt generator and no battery to regulate headlamp inensity.","1 - EA","","Volt Tech","Imported","982","","","","product_page",""
"32-7787","Dyna Ignition Booster For Single Point","https://www2.vtwinmfg.com/dyna-ignition-booster-for-single-point.html","$249.66","","Custom application with single points ignition on Classic models | Custom application with single points ignition on XL models","Dyna ignition booster for single point systems only transforms inconsistent electrical surges into controlled bursts of energy to the coil so power is not wasted. Fits Joe Hunt and Morris magnetos.","1 - EA","","Dyna Tek","USA","349","","","","product_page",""
"68-0003S","Henderson T-Shirt Small","https://www2.vtwinmfg.com/henderson-t-shirt-small.html","$33.21","","All","T-shirt size small features a Henderson design. *NOTE: Product May Not Be Returned.","1 - EA","","V-Twin","USA","","","","","product_page",""
"32-7792","Dyna 12 Volt 3 Ohm Dual Fire Coil","https://www2.vtwinmfg.com/dyna-12-volt-3-ohm-dual-fire-coil-1.html","$137.11","","FXD 1991-1999 | FXR 1984-1994 | FL 1980-1984 | FLST 1986-1999 | FXST 1984-1999 | FLT 1979-1999 | FX 1980-1984 | XL 1980-1999","Dyna dual fire coil is stock type. The coil is 12 volt and 3 ohm for electronic ignition. It replaces Dyna DC-6. This is a high tech, top quality coil that is designed for maximum performance. Coil works with aftermarket and factory electronic ignitions. **NOTE:Check the coil primary resistance requirements from the manufacturers of the ignition being used.","1 - EA","","Dyna Tek","USA","343","","","{""Type"": ""12 volt""}","product_page",""
"32-7834","M8FI Gen 9 EFI Controller","https://www2.vtwinmfg.com/m8fi-gen-9-efi-controller-1.html","$1,060.17","","FXDRS 2019-2020 | FLSL 2018-2020 | FLSB 2018-2020 | FLHC 2018-2020 | FLFB 2018-2019 | FXFBS 2018-2020 | FLDE 2018-2020 | FXBR 2018-2019 | FLFBS 2018-2020 | FXFB 2018-2019 | FXST 2020-2020 | FLHCS 2018-2020 | FXLR 2018-2020 | FXBRS 2018-2020 | FXLRS 2020-2020","Daytona Twin Tec M8FI Gen 9 Auto Tune fuel injection controller is fully programmable plug in replacement featuring a billet aluminum housing with a black anodized finish. Quickly auto-tune fuel curves for front and rear cylinders on a Dyno or on-road. The robust alpha-N fuel control eliminates problems with long duration/high overlap camshafts. Windows software provides custom programming and data analysis. Features extended data logging and diagnostics. Data flash memory stores full 60 minutes of operating data at 10 samples/second. User input functions are: two-stage rpm limiter, nitrous retard and shift kill. User output functions are: shift light, nitrous    activation and electric shifter. *NOTE: Does not work on models with VVT (variable valve timing). **NOTE: Some aftermarket exhaust systems may require modifications or relocation of their O2 sensor port bungs to avoid clearance issues.","1 - KIT","","Daytona Twin Tech","USA","","","","","product_page",""
"32-7835","M8FI Gen 9 EFI Controller","https://www2.vtwinmfg.com/m8fi-gen-9-efi-controller-2.html","$1,060.17","","FLHR 2021-2024 | FLHT 2021-2024 | FLTR 2021-2024 | FLHX 2021-2024","Daytona Twin Tec M8FI Gen 9 Auto Tune fuel injection controller is fully programmable plug in replacement featuring a billet aluminum housing with a black anodized finish. Quickly auto-tune fuel curves for front and rear cylinders on a Dyno or on-road. The robust alpha-N fuel control eliminates problems with long duration/high overlap camshafts. Windows software provides custom programming and data analysis. Features extended data logging and diagnostics. Data flash memory stores full 60 minutes of operating data at 10 samples/second. User input functions are: two-stage rpm limiter, nitrous retard and shift kill. User output functions are: shift light, nitrous    activation and electric shifter. *NOTE: Does not work on models with VVT (variable valve timing). **NOTE: Some aftermarket exhaust systems may require modifications or relocation of their O2 sensor port bungs to avoid clearance issues.","1 - KIT","","Daytona Twin Tech","USA","","","","","product_page",""
"32-8009","Handlebar Wiring Harness Kit Extended","https://www2.vtwinmfg.com/handlebar-wiring-harness-kit-extended-6.html","$27.09","","FL 1982-1984 | XL 1982-1995 | FLST 1986-1995 | FX 1982-1984 | FXR 1982-1994 | FXST 1984-1995","Handlebar wiring harness kit is color coded, extended type measures 47"" long.","1 - KIT","","Volt Tech","Imported","1063","","","{""Measurements"": ""Length: 47\""""}","product_page",""
"32-8035","Wiring 6 Pin Socket Insulator","https://www2.vtwinmfg.com/sportster_1952_up/electrical/wiring.html/wiring-6-pin-socket-insulator.html","$7.07","72037-71","All models","Wiring 6-pin socket insulator is manufactured to meet or exceed OEM specifications for long lasting durability and performance.","1 - EA","","Namz","USA","1315","","","","product_page",""
"32-8036","Starter Relay Connector","https://www2.vtwinmfg.com/starter-relay-connector.html","$12.49","74046-79","FXST 1984-1990 | FL 1979-1984 | FLT 1985-1990 | FXR 1982-1984 | FXR 1985-1990 | FX 1979-1984 | FLT 1979-1984 | XL 1979-1999 | FLST 1986-1990","Starter relay connector includes crimp style connector ends.","1 - EA","","Namz","USA","369","","","{""Type"": ""Starter""}","product_page",""
"32-8037","Headlamp Wiring Connector Block with 3 Wires","https://www2.vtwinmfg.com/headlamp-wiring-connector-block-with-3-wires.html","$14.67","72047-71","All models","Headlamp wiring connector block has three wire leads which include a green, white, and blue wire. The wiring connector block is for ""Hi-Low"" beams on the headlamp.","1 - EA","","Volt Tech","Imported","1105","","","","product_page",""
"32-8585","","","","","","","","","","","","","","","not_found",""
"32-8068","Accel Black Regulator","https://www2.vtwinmfg.com/accel-black-regulator-9.html","$207.80","","XL 1984-1990","Features rugged aluminum alloy construction and provides more accurately regulated voltage under all electrical loads . Regulator has a black finish with a 29"" long lead wire. Unit fits XL models with 19 amp alternator.","1 - EA","Black","Accel","Imported","974","","","","product_page",""
"32-8072","V-Fire Overhead Valve Auto Advance Distributor Chrome","https://www2.vtwinmfg.com/big-twin-overhead-valve-auto-advance-distributor-chrome.html","$261.05","","EL 1936-1940 | FL 1941-1965","V-Fire auto advance distributor features a chrome body and top. Distributor is completely assembled with gear and all internal parts and features a two bolt flange. This is a single point type without timing marks. For Overhead Valve Big Twin models. Point lead wire not included. Distributor has an auto advance and can be used to upgrade your old system or for use on your ground-up build. No need for the left hand spark advance control, use a snap throttle on any handlebar. Front cylinder head must be removed for installation. Replacement for ignition advance rotor and points plate assembly available seperately. Distributor wire lead available separately. Order mount screw sets separatley.                 *NOTE: Points lead wire should exit thru the ""V"" slot in the base, which should face the rear of the motorcycle. *NOTE: Drilling a hole in the plate helps to set advance when timing. *NOTE: We recommend updated the points set. Advance points plate available separately. This plate allows point to exit from rear of distributor.","1 - EA","","V-Twin","Imported","683","32-0135 - Distributor Clamp Zinc Plated","Suggested to use with #32-7797 Ignition Advance with Points Plate Assembly. Suggested to use with #42-0340 Chrome Distributor Cover. Points go on the front side for ease of adjusting. Both     lobes should open & close points but the skinny lobe times  the front cylinder, see service manual. There is no mark on the cam. Must time at cylinder top dead center. Unit requires removal of front head for installation. Suggested to use with #8145-10 Chrome Circuit Breaker Screws Suggested to use with #8146-10 Cadmium Circuit Breaker      Screws Suggested to use with #9684-10 Parkerized Distributor Screws Suggested to use with #32-1623 Distributor Lead Wire. Recommended to use with #32-0156 Blue Streak Ignition Point Set.","","product_page",""
"32-8085","Two Position Handlebar Dimmer Switch With Wires","https://www2.vtwinmfg.com/two-position-handlebar-dimmer-switch-with-wires.html","$28.59","74840-29","J 1926-1929 | EL 1936-1940 | FL 1941-1971 | UL 1937-1948 | VL 1930-1934 | WL 1929-1952","Handlebar dimmer switch is a two position type switch with red, yellow, and black bottom exit PVC wires.  Switch is used for Hi/Low beam. The red wire is center and yellow and black go on the outside. Guide model no. is DH-50.","1 - EA","Chrome","Volt Tech","Imported","700","","","","product_page",""
"32-8088","Black 12 Volt Ignition Coil","https://www2.vtwinmfg.com/black-12-volt-ignition-coil-2.html","$99.96","","FL 1941-1947 | EL 1936-1940 | UL 1938-1947 | VL 1930-1934","Ignition coil is steel jacketed, and includes nuts, packing, and wires. The 12 volt coil replaces 31602-30 on 1930-1947 models with black finish. Use coil mount kit to clamp to frame tube. Includes suppression wires. Coils puts out 2 ohms. The right side is positive and the left side is negative.                                                   **NOTE:Check the coil primary resistance requirements from the manufacturers of the ignition being used.                                                                                                                                                                                                                                             ***NOTE: Coils are factory tested before packaging. Over 20,000 coils sold since 1990!                                                                                                                               *NOTE: Use wire terminal, OEM #9913 on 1930-1947 models, for distributor wires.","1 - EA","","Volt Tech","Imported","687","","Use #49-0099 coil mount kit for Big Twin models Use #49-0100 coil mount kit for Side Valve models","{""Type"": ""12 volt""}","product_page",""
"32-8089","Chrome 6 Volt Ignition Coil","https://www2.vtwinmfg.com/chrome-6-volt-ignition-coil.html","$104.31","","FL 1941-1947 | EL 1936-1940 | UL 1938-1947 | VL 1930-1934","Ignition coil is steel jacketed, and includes nuts, packing, and wires. The 6 volt coil replaces those on 1930-1947 mode ls with chrome finish. Use coil mount kit to clamp to frame tube. **NOTE:Check the coil primary resistance requirements from the manufacturers of the ignition being used.                                                                                                                                                                                                                                                                                                                                                                                                            ***NOTE: Coils are factory tested before packaging. Over 20,000 coils sold since 1990!                                                                                                                               *NOTE: Use wire terminal, OEM #9913 on 1930-1947 models, for distributor wires.","1 - EA","","Volt Tech","Imported","687","","Use #49-0099 coil mount kit for Big Twin models Use #49-0100 coil mount kit for Side Valve models","{""Type"": ""6 volt""}","product_page",""
"32-8586","","","","","","","","","","","","","","","not_found",""
"32-8099","1/4"" x 10' Wiring Loom","https://www2.vtwinmfg.com/1-4-x-10-wiring-loom.html","$21.99","70529-45","All models","Braided wiring loom is asphalt coated and is 1/4"" inner diameter by 10' long. The asphalt coating protects against moisture and chemical absorption.","10 - FT","","Volt Tech","Imported","704","","","","product_page",""
"32-8110","Brass Plated 6 Volt Ignition Coil","https://www2.vtwinmfg.com/brass-plated-6-volt-ignition-coil.html","$89.89","31602-30","EL 1930-1940 | FL 1941-1947 | UL 1938-1947 | VL 1930-1934","Ignition coil is steel jacketed, and includes nuts, packing, and wires. The 6 volt coil replaces those on 1930-1947 models with a brass finish. Use coil mount kit to clamp to frame tube. *NOTE: Use wire terminal, OEM #9913 on 1930-1947 models, for distributor wires.                                                                                                                                                                                                                                                                                                                                                           ***NOTE: Coils are factory tested before packaging. Over 20,000 coils sold since 1990!","1 - EA","","Volt Tech","Imported","687","","","{""Type"": ""6 volt""}","product_page",""
"32-8111","Universal On-Off Ignition Key Switch","https://www2.vtwinmfg.com/universal-on-off-ignition-key-switch.html","$25.19","","Custom application","Universal ignition key switch has 2 positions, ""on-off"", with 2 zinc alloy tubular keys, featuring a zinc alloy die cast housing and cylinder with a chrome plated barrel. *NOTE: Speed clip or hex nut mounted. Key withdrawals in both positions only. And there is no pin tumbler mechanism.","1 - EA","","Volt Tech","Imported","371","","Suggested to use with #31-0357, Mini Key Switch Bracket","","product_page",""
"32-8112","Brass Plated 12 Volt Ignition Coil","https://www2.vtwinmfg.com/brass-plated-12-volt-ignition-coil.html","$89.89","","EL 1930-1940 | FL 1941-1947 | UL 1938-1947 | VL 1930-1934","Ignition coil is steel jacketed, and includes nuts, packing, and wires. This 12 volt coil replaces those on 1930-1947 models with a brass finish. Use coil mount kit to clamp to frame tube. Spark plug wire is rubber coated.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ***NOTE: Coils are factory tested before packaging. Over 20,000 coils sold since 1990!                                                                                                                               *NOTE: Use wire terminal, OEM #9913 on 1930-1947 models, for distributor wires.","1 - EA","","Volt Tech","Imported","687","","","{""Type"": ""12 volt""}","product_page",""
