normalized_part_number,catalog_unified_id,sku,name,brand_part_number,source_vendor,canonical_product_id,canonical_sku
CTX20HBSFT,13701,21130780,Battery - YTX20HBSFT,CTX20H-BS FT,PU,103909,CP-103910
CTX20HBSFT,55060,WPS-49-3034,BATTERY CTX20H-BS-FT MAINTENANCE FREE,CTX20H-BS-FT,WPS,139481,CP-139482
CTX20HLBSFT,13702,21130781,Battery - YTX20HLBSFT,CTX20HL-BS FT,PU,103910,CP-103911
CTX20HLBSFT,55061,WPS-49-3035,BATTERY CTX20HL-BS-FT MAINTENANCE FREE,CTX20HL-BS-FT,WPS,139482,CP-139483
16201,71022,VT-32-3043,Twin Tuner II EFI Controller,16201,VTWIN,153712,CP-153713
16201,36885,WPS-132-7013,TWIN TUNER II 12-17 FXD & ST W/CAN BUS,16201,WPS,125960,CP-125961
E250091BD10,13704,21130798,Battery Cable - FLT,E25-0091B-D10,PU,103912,CP-103913
E250091BD10,90595,VT-32-1979,Battery Cable Set Black,E25-0091B-D10,VTWIN,173285,CP-173286
E250091BD11,13706,21130799,Battery Cable - XL,E25-0091B-D11,PU,103914,CP-103915
E250091BD11,90596,VT-32-1980,Battery Cable Set Black,E25-0091B-D11,VTWIN,173286,CP-173287
9960,1328,22120798,Coolant Sensor,9960,PU,92074,CP-092075
9960,69009,VT-30-1283,Chrome Slip On Muffler Set,9960,VTWIN,151699,CP-151700
DP3G,58777,WPS-850-08020,3-WIRE GREY DEUTSCH PLUG & WDGLCK HD# 72133-94GY,DP-3G,WPS,101585,CP-101586
DP3G,11279,21200053,Deutsch Plug - 3 Pin - Gray,DP-3G,PU,101585,CP-101586
DP3G,90984,VT-32-9618,Deutsch Sealed 3 Wire Connector Component,DP-3G,VTWIN,173674,CP-173675
83440,13745,17310208,Master Cylinder Rebuild Kit - Front - Dual Disc,83440,PU,103950,CP-103951
83440,87822,VT-23-1787,Handlebar Master Cylinder Rebuild Kit,83440,VTWIN,170512,CP-170513
SOLIDPINS,58760,WPS-850-08002,DEUTSCH SOLID MALE TERMINALS HD# 72192-98 & 98R,SOLID-PINS,WPS,98866,CP-098867
SOLIDPINS,8500,21200071,Deutsch Crimp Pins,SOLID-PINS,PU,98866,CP-098867
SOLIDPINS,90967,VT-32-9602,Male Terminal Solid Pin Type Terminal,SOLID-PINS,VTWIN,173657,CP-173658
87159,13760,17310417,Master Cylinder Rebuild Kit - Front - Single Disc,87159,PU,103965,CP-103966
87159,50623,WPS-820-50610,FRT MSTR CYL REBLD KIT NON-ABS OE# 41700087,87159,WPS,136607,CP-136608
371032,70707,VT-32-1543,Chrome Dual Handlebar Button Switch Kit,371032,VTWIN,153397,CP-153398
371032,44309,WPS-820-50845,CUSTOM DUAL SWITCH KIT CHROME,371032,WPS,132275,CP-132276
NHCXFX25,71163,VT-32-6699,Handlebar Switch Wiring Harness 15 inch Extension Kit,NHCX-FX25,VTWIN,153853,CP-153854
NHCXFX25,34295,21201446,"Throttle-By-Wire Extension Harness - Handlebar/Switch - 50"" - Softail",NHCX--FX25,PU,123509,CP-123510
7122,96409,VT-10-0427,Sprocket Shaft Spacer,7122,VTWIN,179099,CP-179100
