normalized_part_number,bucket,member_count,distinct_real_canonical_ids,canonical_ids,skus
CTX20HBSFT,multiple_real,2,2,103909|139481,21130780|WPS-49-3034
CTX20HLBSFT,multiple_real,2,2,103910|139482,21130781|WPS-49-3035
16201,multiple_real,2,2,153712|125960,VT-32-3043|WPS-132-7013
E250091BD10,multiple_real,2,2,103912|173285,21130798|VT-32-1979
E250091BD11,multiple_real,2,2,103914|173286,21130799|VT-32-1980
9960,multiple_real,2,2,92074|151699,22120798|VT-30-1283
DP3G,multiple_real,3,2,101585|173674,WPS-850-08020|21200053|VT-32-9618
83440,multiple_real,2,2,103950|170512,17310208|VT-23-1787
SOLIDPINS,multiple_real,3,2,98866|173657,WPS-850-08002|21200071|VT-32-9602
87159,multiple_real,2,2,103965|136607,17310417|WPS-820-50610
371032,multiple_real,2,2,153397|132275,VT-32-1543|WPS-820-50845
NHCXFX25,multiple_real,2,2,153853|123509,VT-32-6699|21201446
7122,multiple_real,2,2,179099|159966,VT-10-0427|VT-40-9907
77958,multiple_real,2,2,155839|144771,VT-34-0744|VT-15-7958
E250091BD6,multiple_real,2,2,104009|173282,21130735|VT-32-1975
E250091BD7,multiple_real,2,2,104010|173283,21130736|VT-32-1976
3507X,multiple_real,2,2,143728|113767,VT-11-9762|3507X
102009,multiple_real,2,2,104044|138443,21020332|WPS-820-60412
B281256,one_real_rest_null,2,1,94798,13102496|WPS-750-05580
351567,multiple_real,3,3,104076|178035|141183,23300268|VT-50-0279|WPS-820-52354
24572,multiple_real,2,2,178673|175677,VT-73-0041|VT-37-9057
W160331,multiple_real,2,2,119276|175379,02140374|VT-37-0999
78287,multiple_real,2,2,144814|160167,VT-15-8287|VT-42-0267
H070587B,multiple_real,2,2,119361|150019,06100221|VT-26-2113
NM334710302,multiple_real,3,2,98846|173703,21200338|WPS-850-08305|VT-32-9697
210035,multiple_real,2,2,95128|169584,14011076|VT-18-8328
78113,multiple_real,2,2,98717|151168,14050086|VT-29-0206
792103,multiple_real,2,2,104273|140375,792103|WPS-279-2103
31SI,multiple_real,2,2,146846|116366,VT-20-0909|11200433
801001,multiple_real,2,2,104274|140381,801001|WPS-280-1001
320459NU,multiple_real,2,2,104307|171835,05100270|VT-27-1695
A24032SET,multiple_real,2,2,179100|119948,VT-10-0428|DS196135
77401,multiple_real,2,2,101988|176666,16010203|VT-42-9913
NM334720601,multiple_real,3,2,101567|173686,21200318|WPS-850-08311|VT-32-9677
55129,multiple_real,2,2,104357|126542,04070192|WPS-22-55129
190389,multiple_real,2,2,176584|91556,VT-42-0927|78050012
GBDU001,one_real_rest_null,2,1,99110,17104921|WPS-17-DU001
305,multiple_real,2,2,118107|176851,17420047|VT-43-1050
A1745266,multiple_real,2,2,104770|166872,09270009|VT-12-2115
A6466W,multiple_real,2,2,104772|166698,09270025|VT-12-1193
55135,multiple_real,2,2,126544|116783,WPS-22-55135|06360607
76581,multiple_real,2,2,101476|175532,08030331|VT-38-0789
D26014029,multiple_real,2,2,146770|93267,VT-20-0526|12030020
A3150365,multiple_real,2,2,104792|169057,21100235|VT-17-1502
A3343850,multiple_real,2,2,104793|179171,DS194120|VT-10-0721
A2555136,multiple_real,2,2,104794|166784,DS194164|VT-12-1441
A3510036,multiple_real,2,2,104798|169188,DS194282|VT-17-9761
A3578936,multiple_real,2,2,104814|179178,DS194135|VT-10-0729
300067,multiple_real,2,2,120930|111295,06010824|17104712
110065,multiple_real,2,2,104919|127827,17416843|WPS-57-10065
4091,multiple_real,2,2,104976|129573,09280025|WPS-811-04091
4055,multiple_real,2,2,104978|129568,09290024|WPS-811-04055
9962,multiple_real,2,2,105002|160399,22120861|VT-42-1104
8040,multiple_real,2,2,105011|150466,09250950|VT-27-1067
120041,multiple_real,5,4,98311|106725|130215|154405,WPS-12-0041|07060019|04120666|WPS-820-50510|VT-33-0310
2075,multiple_real,3,3,105014|129554|137115,09240238|WPS-811-02075|WPS-85-02075
C6131T,multiple_real,2,2,113461|130879,24010287|WPS-830-1064
2061,multiple_real,3,3,105024|129549|159889,09250535|WPS-811-02061|VT-40-1467
2064,multiple_real,2,2,105045|129551,09250628|WPS-811-02064
5468,multiple_real,2,2,105058|105139,10103320|19010757
8022,multiple_real,2,2,105072|138348,24010993|WPS-56-8022
GBDU011,one_real_rest_null,2,1,105086,17104931|WPS-17-DU011
86264,multiple_real,3,3,91710|141349|170103,17310415|WPS-820-32010|VT-23-0288
87158,multiple_real,3,3,103967|136559|170520,17310420|WPS-820-50609|VT-23-1827
83117,multiple_real,2,2,97578|176164,17310121|VT-39-1130
87717,multiple_real,3,3,103970|136609|170430,17310544|WPS-820-50612|VT-23-1212
3512537,multiple_real,2,2,105135|168755,DS195016|VT-17-0220
323494,multiple_real,2,2,134115|99748,WPS-232-3494|03650045
2402354,multiple_real,2,2,105153|166519,DS198839|VT-12-0613
JGI3498604,multiple_real,2,2,105198|167489,09350109|VT-14-0995
JGI1863348F,multiple_real,2,2,105199|168160,09343432|VT-15-1438
JGI11125XMSF,multiple_real,2,2,105201|144480,09341582|VT-15-1281
660411,multiple_real,2,2,97562|135843,17410868|WPS-70-660411
JGI3490107F,multiple_real,2,2,105204|168140,09341623|VT-15-1395
4532,multiple_real,2,2,93450|151106,17411002|VT-29-0031
JGI1769507,multiple_real,2,2,105208|168164,09342099|VT-15-1446
JGI3490194F,multiple_real,2,2,105211|144524,09344630|VT-15-1336
3561465,multiple_real,2,2,168685|168682,VT-17-0128|VT-17-0125
JGI2541699DL,multiple_real,2,2,105219|144476,09350090|VT-15-1277
5521,multiple_real,2,2,111401|120265,17411032|10103147
JGI2909595,multiple_real,2,2,105225|167775,DS173445|VT-15-0596
JGI1677999X,multiple_real,2,2,105230|168105,DS174203|VT-15-1245
JGI1703466,multiple_real,2,2,105236|167877,DS173242|VT-15-0823
JGI1863448C,multiple_real,2,2,105238|167927,DS173377|VT-15-0927
JGI1863236,multiple_real,2,2,105240|167925,DS173454|VT-15-0925
JGI6056790,multiple_real,2,2,105241|167839,DS173476|VT-15-0703
JGI3490679A,multiple_real,2,2,105242|167840,DS173478|VT-15-0704
JGI6053881C,multiple_real,2,2,105244|167909,DS174352|VT-15-0900
JGI6056736,multiple_real,2,2,105245|167922,DS174380|VT-15-0920
JGI11124,multiple_real,2,2,105249|167337,DS194420|VT-14-0600
JGI6053989X,multiple_real,2,2,105250|167910,DS174382|VT-15-0902
NTBWX04,multiple_real,2,2,153207|123486,VT-32-1205|21200244
70291,multiple_real,2,2,152693|167596,VT-32-3114|VT-15-0176
MCCBR7,multiple_real,2,2,98255|172934,WPS-275-01016|VT-32-0460
204257,multiple_real,3,3,105340|143554|140280,09260409|VT-11-6000|WPS-191-17013
2022650,multiple_real,2,2,105346|143156,09263210|VT-11-2027
2022450,multiple_real,2,2,105348|143154,09263314|VT-11-2025
204323,multiple_real,2,2,105350|126407,09260762|WPS-191-57040
204101,multiple_real,2,2,105352|166240,09261452|VT-11-6095
2020325,multiple_real,3,3,105358|140279|166242,09260195|WPS-191-17012|VT-11-6120
202024M,multiple_real,2,2,105361|143220,09262270|VT-11-2304
202121M,multiple_real,2,2,105362|143232,09262302|VT-11-2317
202134M,multiple_real,2,2,105363|143240,09262311|VT-11-2325
202123,multiple_real,2,2,105364|126433,09260725|WPS-191-57054
202022C,multiple_real,3,3,105365|142722|126414,09260748|VT-11-0968|WPS-191-57043C
204324,multiple_real,2,2,105366|142764,09260763|VT-11-1023
120402D,multiple_real,2,2,98534|154757,09026321|VT-33-1158
2022350,multiple_real,2,2,105372|143160,09263208|VT-11-2031
710304,multiple_real,3,3,105375|131488|167477,09350458|WPS-191-37022|VT-14-0983
2021040,multiple_real,3,3,105376|134633|142806,24011105|WPS-191-58018|VT-11-1103
204320,multiple_real,3,3,105378|126363|142761,09260744|WPS-191-57003|VT-11-1019
202052M,multiple_real,2,2,105383|143244,09262284|VT-11-2328
202060M,multiple_real,2,2,105384|143247,09262287|VT-11-2331
2021500,multiple_real,2,2,105390|144142,09263001|VT-13-2150
204170,multiple_real,3,3,105396|143560|140270,DS198974|VT-11-6009|WPS-191-17002
060177,multiple_real,2,2,170118|140998,VT-23-0313|WPS-70-6177
CC120E,multiple_real,2,2,146797|116373,VT-20-0628|11300176
BA080030,multiple_real,2,2,105444|138973,22100662|WPS-27-57014
BA050903,multiple_real,2,2,105446|126774,22100403|WPS-27-5795
BA064921,multiple_real,2,2,138976|121201,WPS-28-61048|22100665
41972,multiple_real,2,2,155247|122737,VT-33-2062|11321110
H070595S,multiple_real,2,2,107510|150001,06102319|VT-26-1050
A1855536,multiple_real,2,2,179134|93995,VT-10-0516|DS193141
PCC133,multiple_real,2,2,95978|169696,12040128|VT-20-0478
500770TIN,multiple_real,2,2,99176|136805,16211056|WPS-812-55052
5154,multiple_real,2,2,105773|161196,17103641|VT-44-5154
70357,multiple_real,2,2,159172|125700,VT-39-0128|10102973
202033C,multiple_real,3,3,126385|99660|142730,WPS-191-57020C|09260751|VT-11-0977
78479,multiple_real,2,2,154948|144848,VT-33-1581|VT-15-8479
3300379,multiple_real,2,2,105901|179138,09290050|VT-10-0521
78297,multiple_real,2,2,144821|175922,VT-15-8297|VT-40-0116
P4817,multiple_real,2,2,99103|133310,24010995|WPS-830-1094
125,multiple_real,2,2,103972|136272,17420044|WPS-571-6114
335177,multiple_real,2,2,105953|142261,20072510|VT-10-5177
T030161,multiple_real,2,2,91839|175900,07110243|VT-40-0922
31170,multiple_real,2,2,118111|96799,17420117|17410302
902053,multiple_real,2,2,105989|144164,DS199729|VT-13-9226
NHCXCB14,multiple_real,3,2,153845|123515,VT-32-6686|WPS-850-08717|21200783
A3604836,multiple_real,2,2,95021|168721,DS196171|VT-17-0173
6004,multiple_real,2,2,96968|166547,18010488|VT-12-0751
71049,multiple_real,2,2,106146|160890,10103170|VT-44-0365
47627,multiple_real,2,2,106159|100818,18002625|17411694
2403,multiple_real,2,2,153653|152952,VT-32-2134|VT-32-0236
13155,multiple_real,2,2,95149|142794,06401391|VT-11-1073
291130,multiple_real,4,4,93861|115346|142194|132264,05100260|DS199320|VT-10-2651|WPS-820-0541
102110,multiple_real,2,2,99134|137316,06401668|WPS-812-02111
8062,multiple_real,2,2,106231|138352,09250955|WPS-56-8062
102110B,multiple_real,2,2,123782|137318,06401669|WPS-812-02113
102130B,multiple_real,2,2,99137|137289,06401675|WPS-812-02119
JGI1735592,multiple_real,2,2,94233|167970,DS174423|VT-15-0997
20744,multiple_real,2,2,131217|156786,WPS-865-01168|VT-35-0458
T030100C,multiple_real,2,2,119654|174617,07050555|VT-35-9021
140020CKNU,multiple_real,2,2,93873|159548,07120642|VT-40-0075
140020BKNU,multiple_real,2,2,93747|159547,07120643|VT-40-0074
76694,multiple_real,2,2,123263|150306,08010741|VT-27-0704
SPC004,multiple_real,2,2,117590|157829,24040044|VT-37-0435
1825,multiple_real,2,2,142068|99227,VT-10-1825|09290044
2020709C,multiple_real,2,2,121084|126446,09262021|WPS-191-57062C
776020,multiple_real,2,2,113651|150109,24040364|VT-27-0066
10111,multiple_real,2,2,96359|139045,24040648|WPS-576-04281
34262,multiple_real,2,2,94424|92619,06510001|WPS-18-95091
3001,multiple_real,2,2,129558|105068,WPS-811-03001|24010201
801002,multiple_real,2,2,119049|140382,801002|WPS-280-1002
78286,multiple_real,2,2,160165|144813,VT-42-0265|VT-15-8286
060151,multiple_real,2,2,121220|140988,18611639|WPS-70-6151
086097,multiple_real,2,2,136908|97675,WPS-820-2245|15010743
L2465D9CLEDK,multiple_real,2,2,154639|118517,VT-33-0911|20100572
52742,one_real_rest_null,2,1,105848,06360670|WPS-194-52742
120003,multiple_real,3,3,159866|125877|103172,VT-40-1252|WPS-12-0003|04030166
5609,multiple_real,2,2,106970|120397,17411064|10103344
290340,multiple_real,2,2,146810|114466,VT-20-0702|DS199461
5020001078,multiple_real,2,2,169545|116190,VT-18-8227|DS223743
78387,multiple_real,2,2,168304|171142,VT-15-8387|VT-24-1750
291320,multiple_real,2,2,97690|169905,16021507|VT-21-0998
500761B,multiple_real,2,2,99109|135884,16202282|WPS-812-55005
500751TIN,multiple_real,2,2,101751|135882,16202280|WPS-812-55003
1013030014,multiple_real,2,2,92816|174892,DS223887|VT-36-2505
77323,multiple_real,2,2,165712|149836,VT-15-7323|VT-26-0116
821,multiple_real,2,2,158422|119038,VT-37-8902|DS098821
78422,multiple_real,2,2,173215|144835,VT-32-1630|VT-15-8422
3504X,multiple_real,2,2,113756|143768,3504X|VT-11-9901
0810157,multiple_real,2,2,127529|145079,WPS-56-1149|VT-16-0595
202132M,multiple_real,2,2,143238|121013,VT-11-2323|09262309
C230238,multiple_real,2,2,106615|144255,04030047|VT-14-0998
40099,multiple_real,2,2,145406|116872,VT-16-1941|21200890
7539,multiple_real,2,2,159575|148043,VT-40-0202|VT-23-1004
1704904X,multiple_real,2,2,140848|168170,WPS-681-5217|VT-15-1452
1311CR,multiple_real,2,2,157418|99863,VT-35-9309|DS390240
6311CR,multiple_real,2,2,157420|124240,VT-35-9313|DS390260
170437,multiple_real,2,2,150397|122936,VT-27-0897|10120235
H070780MB2,multiple_real,2,2,98610|171478,06101876|VT-26-2221
120427,multiple_real,2,2,155645|134494,VT-34-0288|WPS-820-50576
02201,multiple_real,2,2,103144|126742,17010675|WPS-27-10902
212260,multiple_real,2,2,94786|142140,09250291|VT-10-2260
33105,multiple_real,2,2,103064|126998,17104580|WPS-28-2038S
BDL1413,multiple_real,2,2,114841|146779,DS360005|VT-20-0603
76032,multiple_real,2,2,108624|172204,08010455|VT-30-0288
90095,multiple_real,2,2,155583|103408,VT-34-0148|24010500
JGI1703057,multiple_real,2,2,92197|167880,DS173335|VT-15-0827
78257,multiple_real,2,2,144790|160451,VT-15-8257|VT-42-1208
NHD6835505,multiple_real,3,2,92013|173335,WPS-850-08776|VT-32-5063|21200604
77429,multiple_real,2,2,144597|145280,VT-15-7429|VT-16-1286
323493,multiple_real,2,2,99751|134114,03650044|WPS-232-3493
JGI1754148C,multiple_real,2,2,105239|167979,DS173435|VT-15-1006
120045,multiple_real,3,2,122377|159176,07060023|WPS-12-0045|VT-39-0144
A1748357,multiple_real,2,2,166956|104776,VT-13-0100|09270012
2M4805,multiple_real,2,2,142978|137295,VT-11-1397|WPS-865-2046
C10198F1,multiple_real,3,2,132702|97120,VT-15-1473|WPS-68-10198F1|09345961
89023,multiple_real,2,2,109101|131298,08220634|WPS-87-9431
K2789,multiple_real,2,2,109141|93881,09101998|11120042
V13117,multiple_real,2,2,109186|166599,09120967|VT-12-0924
7078,multiple_real,3,3,169445|109426|140602,VT-18-3120|09320035|WPS-681-4313
JGI1754099X,multiple_real,2,2,168089|99516,VT-15-1213|DS174533
2063,multiple_real,2,2,109246|129550,09250627|WPS-811-02063
1021,multiple_real,3,3,109251|114814|145757,09250674|DS325781|VT-17-1021
212970,multiple_real,2,2,109254|142209,09250585|VT-10-2970
202131,multiple_real,2,2,109296|126396,09260321|WPS-191-57030
202122,multiple_real,2,2,109301|126431,09260721|WPS-191-57053
202031C,multiple_real,3,3,109303|142728|126380,09260747|VT-11-0975|WPS-191-57018C
202030C,multiple_real,3,3,109308|142829|126378,09260745|VT-11-1167|WPS-191-57017C
202034C,multiple_real,3,3,109309|142731|126387,09260753|VT-11-0978|WPS-191-57021C
202032C,multiple_real,3,3,109310|126383|142729,09260749|WPS-191-57019C|VT-11-0976
202000,multiple_real,2,2,109317|144132,09260806|VT-13-2000
202026C,multiple_real,3,3,109321|142725|126420,09261976|VT-11-0971|WPS-191-57046C
202028,multiple_real,2,2,109326|142714,09261977|VT-11-0956
202036,multiple_real,2,2,109327|142717,09261982|VT-11-0963
202064C,multiple_real,3,3,109328|126390|142754,09261996|WPS-191-57025C|VT-11-1007
2020855,multiple_real,2,2,109339|143013,09262928|VT-11-1477
202120M,multiple_real,2,2,109340|143231,09262301|VT-11-2316
202130M,multiple_real,2,2,109341|143236,09262307|VT-11-2321
770045NU,multiple_real,2,2,172727|104223,VT-31-9924|DS110857
204096C,multiple_real,2,2,109344|142816,09262794|VT-11-1138
2021300,multiple_real,2,2,109348|144140,09262999|VT-13-2130
710104,multiple_real,2,2,109354|131487,09263204|WPS-191-37020
2022600,multiple_real,2,2,109355|143256,09263209|VT-11-2340
10HC447,multiple_real,2,2,109363|139963,09263358|WPS-191-57104
4080,multiple_real,2,2,109387|129572,09280103|WPS-811-04080
202104,multiple_real,3,3,109391|126337|151845,09300059|WPS-191-27789|VT-30-2104
316296,multiple_real,2,2,109427|144018,09320151|VT-12-8009
42812,multiple_real,2,2,113108|170639,21201497|VT-23-3082
JGI2526304KX,multiple_real,2,2,109477|144468,09341200|VT-15-1266
CW20,multiple_real,2,2,114073|143738,CW20|VT-11-9779
JGI3490107,multiple_real,2,2,109494|168139,09341622|VT-15-1394
110418,multiple_real,2,2,109686|156611,10020002|VT-35-0013
531062,multiple_real,2,2,135359|152246,WPS-820-2264|VT-31-0379
70201,multiple_real,2,2,153880|169494,VT-32-7201|VT-18-3605
253030,multiple_real,2,2,169114|94796,VT-17-8243|DS199432
71370,multiple_real,2,2,169186|161406,VT-17-9758|VT-46-0342
18752,multiple_real,2,2,109840|154122,10102478|VT-32-8752
A6775,multiple_real,2,2,109870|166544,09250285|VT-12-0718
255115,multiple_real,2,2,94338|126556,255115|WPS-225-5115
71077,multiple_real,2,2,109899|172906,10103111|VT-32-0408
316271,multiple_real,2,2,144402|114408,VT-15-0658|DS194246
58929,multiple_real,2,2,161201|146968,VT-44-8929|VT-20-8829
3200,multiple_real,2,2,109996|145437,10120247|VT-16-3200
5515,multiple_real,2,2,145254|100790,VT-16-1196|17411029
JGI1703004X,multiple_real,2,2,120819|144579,09341849|VT-15-1454
TALONOEM14LB,multiple_real,2,2,133666|101693,WPS-827-05398|14011015
170461,multiple_real,2,2,101117|150571,17420482|VT-27-1557
161100,multiple_real,3,3,110111|156629|178229,10500337|VT-35-0106|VT-50-1166
I350028,multiple_real,2,2,110151|176809,11050033|VT-43-0786
1056,multiple_real,3,3,110161|147376|145761,11040005|VT-21-3000|VT-17-1036
1035,multiple_real,3,3,110162|145760|160060,11040004|VT-17-1035|VT-41-1035
A909523,multiple_real,2,2,110173|168996,11060045|VT-17-1147
3200358,multiple_real,2,2,141841|109213,VT-10-0847|09220122
4731SE5,multiple_real,2,2,146801|92782,VT-20-0633|DS360105
H070574NMB,multiple_real,2,2,171405|111227,VT-26-0961|06102301
78441,multiple_real,2,2,144836|172517,VT-15-8441|VT-31-0915
JGI1753670X,multiple_real,2,2,91189|144470,09340948|VT-15-1270
1009,multiple_real,2,2,125963|120346,WPS-132-7016|09250430
D110299,multiple_real,2,2,93286|141136,11070325|WPS-820-2631
2009,multiple_real,2,2,125969|147284,WPS-132-7021|VT-21-0858
DC71,multiple_real,3,2,114082|153984,WPS-133-1086|DC71|VT-32-7793
70304,multiple_real,2,2,167559|152984,VT-15-0123|VT-32-3119
NTBW3231008,multiple_real,3,2,123493|174774,WPS-850-08210|21300347|VT-36-0792
030106,multiple_real,3,3,130083|119417|171177,WPS-820-1320C|06030003|VT-25-2108
300534,multiple_real,2,2,158116|158115,VT-37-2013|VT-37-2012
260202B,multiple_real,2,2,110266|146008,11120032|VT-17-9923
2M6198010,multiple_real,2,2,142437|132801,VT-11-0162|WPS-865-02015
253101,multiple_real,2,2,110278|126535,11200162|WPS-22-53101
191205,multiple_real,3,3,110290|133477|146337,11200413|WPS-820-52652|VT-19-0027
CC100S,multiple_real,2,2,110308|146796,11300177|VT-20-0627
150002,multiple_real,2,2,127776|173653,WPS-57-0002|VT-32-9350
120014B,multiple_real,2,2,173991|129990,VT-33-1973|WPS-820-0340B
A11000,multiple_real,2,2,110377|166575,11320270|VT-12-0900
78104,multiple_real,2,2,161647|122401,VT-47-0848|14050023
78268,multiple_real,2,2,144799|176647,VT-15-8268|VT-42-1746
H070592N,multiple_real,2,2,171410|92366,VT-26-0966|06102312
SPC016,multiple_real,2,2,157802|113638,VT-37-0400|24040052
281111,multiple_real,2,2,110488|126529,13020001|WPS-22-81111
120202,multiple_real,2,2,166319|93750,VT-12-0203|09066317
H070730MB,multiple_real,2,2,119482|149955,06102254|VT-26-0959
02207,multiple_real,2,2,126743|115738,WPS-27-10903|17010681
87161,multiple_real,4,4,170521|132148|136610|93215,VT-23-1828|WPS-830-1188|WPS-820-50613|17310419
120411D,multiple_real,2,2,104014|154762,20100783|VT-33-1164
T030101B,multiple_real,2,2,99238|174618,07050556|VT-35-9022
206035WI,multiple_real,2,2,118718|154398,20010099|VT-33-0293
L216106E,multiple_real,2,2,112098|154821,20010957|VT-33-1302
H070592MB,multiple_real,2,2,119121|171403,06100795|VT-26-0955
W160332,multiple_real,2,2,106539|177135,02140449|VT-44-0742
H070592S,multiple_real,2,2,107515|147797,06102314|VT-26-0979
JGI1677066A,multiple_real,2,2,91233|167983,09342190|VT-15-1010
TALON2114LB,multiple_real,2,2,110690|133657,14010982|WPS-827-05383
78056,multiple_real,2,2,110697|176199,14050079|VT-40-0090
340102,multiple_real,2,2,128045|155273,WPS-57-9726|VT-33-2173
2023,multiple_real,3,3,151232|170545|105056,VT-29-2023|VT-23-1988|09344746
80312,multiple_real,2,2,127921|129755,WPS-57-6565|WPS-817-01802
40114,multiple_real,4,3,95056|153843|126913,20101457|VT-32-6683|WPS-274-0015|VT-32-0636
77796,multiple_real,2,2,147113|168257,VT-21-0264|VT-15-7796
H070730SMB,multiple_real,2,2,119167|150006,06102328|VT-26-1055
102130TIN,multiple_real,2,2,99086|137323,06401676|WPS-812-02121
C770139,multiple_real,2,2,110783|178278,15100163|VT-50-1523
80856,multiple_real,3,2,142035|109214,VT-10-1609|09230689|WPS-820-58023
52675,multiple_real,3,2,130346|125065,WPS-820-52010|WPS-194-52675|06360522
105020G,multiple_real,2,2,99168|135870,04040497|WPS-812-52302
DC21,multiple_real,2,2,97199|153982,DC21|VT-32-7790
1228,multiple_real,2,2,158016|120375,VT-37-1082|09300247
50152,multiple_real,2,2,116891|126985,06360612|WPS-28-2025
500773B,multiple_real,2,2,110899|137334,16100683|WPS-812-02140
6627,multiple_real,2,2,142445|151963,VT-11-0170|VT-30-4011
601002,multiple_real,2,2,115704|174507,10140301|VT-35-1002
352002,multiple_real,2,2,158525|104003,VT-37-9526|24010700
170404,multiple_real,2,2,155927|102715,VT-34-1015|DS289211
L226828RC,multiple_real,2,2,118479|154810,20200401|VT-33-1276
78561,multiple_real,3,3,111004|144866|150142,16202476|VT-15-8561|VT-27-0208
62138,multiple_real,2,2,111032|175640,16210098|VT-37-8944
H070574C,multiple_real,2,2,98627|130101,06140162|WPS-820-1515C
210207,multiple_real,3,3,110192|130516|172927,11070044|WPS-820-54600|VT-32-0439
95753,multiple_real,2,2,144268|146305,VT-14-5753|VT-18-8284
B160731MB,multiple_real,2,2,97541|170608,17010759|VT-23-2363
2020701C,multiple_real,3,3,120985|126374|142791,09262017|WPS-191-57012C|VT-11-1064
B160723,multiple_real,2,2,111170|170597,17010695|VT-23-2352
2021009H,multiple_real,3,3,121094|132655|142867,09262952|WPS-191-17042|VT-11-1218
89235,multiple_real,2,2,111200|147996,17020464|VT-23-0812
291127,multiple_real,2,2,141941|114461,VT-10-1180|DS199344
291151,multiple_real,2,2,141942|94780,VT-10-1183|DS199447
79100,multiple_real,2,2,171680|123367,VT-28-1790|08050033
NDP30037,multiple_real,2,2,135424|154246,WPS-850-08401|VT-32-9644
5528,multiple_real,2,2,91753|98935,17411036|10103152
JGI6056790DL,multiple_real,2,2,167737|92151,VT-15-0465|78081027
NAFH01,multiple_real,3,2,112933|153820,WPS-850-08433|21200425|VT-32-6577
030040L,multiple_real,2,2,108425|174393,07050282|VT-35-0498
02211,multiple_real,2,2,103143|126745,17010605|WPS-27-10904
A2558273,multiple_real,2,2,91497|179159,09240273|VT-10-0708
202111,multiple_real,2,2,121005|143151,09261445|VT-11-2022
6139,multiple_real,2,2,102430|156310,17103643|VT-34-1791
299180,multiple_real,2,2,92722|169137,11060068|VT-17-9180
76760,multiple_real,2,2,101471|168203,08020767|VT-15-1536
78659,multiple_real,2,2,155215|168401,VT-33-1946|VT-15-8659
3619,multiple_real,2,2,111403|158202,17411629|VT-37-6141
8185,multiple_real,3,3,155484|133150|172480,VT-33-8185|WPS-60-1947|VT-31-0582
600016,multiple_real,3,3,155653|130026|103037,VT-34-0300|WPS-820-0800C|10102654
121230,multiple_real,2,2,109800|130227,10100552|WPS-820-50525
2021022,multiple_real,3,3,99669|132661|142871,09262959|WPS-191-57072|VT-11-1222
2020690,multiple_real,2,2,99681|126367,09262005|WPS-191-57009
202012,multiple_real,3,3,99722|120926|143574,09260784|DS202012|VT-11-6073
2021030,multiple_real,3,3,142875|131880|109350,VT-11-1226|WPS-191-57074|09262961
JGI4357135,multiple_real,2,2,92299|167641,DS174512|VT-15-0231
70288,multiple_real,2,2,158231|168909,VT-37-7031|VT-17-0912
C8042,multiple_real,2,2,130874|113459,WPS-830-1058|24010296
202240,multiple_real,2,2,101722|131759,202240|WPS-812-02060
IN1000,multiple_real,2,2,146862|114875,VT-20-0938|DS360427
IN1500,multiple_real,2,2,146863|116393,VT-20-0940|20175002
E280033,multiple_real,2,2,98539|172510,09330054|VT-31-0887
2060,multiple_real,2,2,98910|129547,09250434|WPS-811-02060
JGI1863599F,multiple_real,2,2,99373|168121,09342108|VT-15-1296
77121,multiple_real,2,2,111605|161331,17416279|VT-45-0937
H070575B,multiple_real,2,2,119380|171420,06130202|VT-26-0983
2021060H,multiple_real,2,2,99653|139953,09263343|WPS-191-17048
2022250,multiple_real,2,2,99706|143159,09263312|VT-11-2030
202134C,multiple_real,3,3,99717|126382|142851,09260733|WPS-191-57033C|VT-11-1192
23365PK,multiple_real,2,2,174424|174399,VT-37-0144|VT-37-0143
327094,multiple_real,2,2,126583|121101,WPS-232-7094|03650056
GBDU007,one_real_rest_null,2,1,99124,WPS-17-DU007|17104927
327091,multiple_real,2,2,126580|98865,WPS-232-7091|03650053
NFATO1,multiple_real,3,2,94562|173397,21300083|WPS-850-08414|VT-32-6561
9348DC,multiple_real,2,2,143539|143540,VT-11-4055|VT-11-4056
DC61,multiple_real,3,2,117844|153983,WPS-133-1080|DC61|VT-32-7792
C230237,multiple_real,3,3,119288|130195|144242,04030046|WPS-820-2712|VT-14-0942
28324,multiple_real,2,2,127467|129959,WPS-50-28324|WPS-82-8324
500748TIN,multiple_real,2,2,137329|110883,WPS-812-02135|16030390
46495+4650209,multiple_real,2,2,171086|171085,VT-24-1338|VT-24-1337
105030,multiple_real,2,2,101712|135869,04040496|WPS-812-52301
MCRLY3,multiple_real,2,2,126946|152999,WPS-275-01092|VT-32-0448
47331,multiple_real,2,2,111794|147790,18002578|VT-22-7331
K1607,multiple_real,2,2,143714|125766,VT-11-9727|K1607
030106ANUB,multiple_real,2,2,130084|119356,WPS-820-1325B|06030811
A3507879,multiple_real,2,2,95074|166484,DS193148|VT-12-0557
202021C,multiple_real,3,3,121074|142721|126412,09260746|VT-11-0967|WPS-191-57042C
CM4274,multiple_real,2,2,161906|126814,VT-48-0598|WPS-27-M427
JGI6054706,multiple_real,2,2,91186|168111,09341196|VT-15-1254
500063,multiple_real,2,2,103137|109707,06303264|10030460
JGI6110985C,multiple_real,2,2,94283|168016,DS174515|VT-15-1065
7145C,multiple_real,2,2,177112|111301,VT-44-0653|17104784
MCSPA3,multiple_real,2,2,91100|172950,WPS-275-01072|VT-32-0519
251370,multiple_real,2,2,104099|126530,A251370|WPS-22-51370
H0708021,multiple_real,2,2,104316|149334,06102201|VT-26-2261
6003,multiple_real,2,2,111830|176709,18010362|VT-43-0128
820,multiple_real,3,3,130917|155407|110422,WPS-830-6003|VT-33-3820|12042729
