normalized_part_number,bucket,member_count,distinct_real_canonical_ids,canonical_ids,skus
339908,multiple_real,2,2,136932|176881,WPS-820-54159|VT-44-0007
302840,multiple_real,2,2,136937|176811,WPS-820-70210|VT-43-0796
JGI1705599X,multiple_real,2,2,112207|144529,20112099|VT-15-1348
78357,multiple_real,2,2,168281|168287,VT-15-8357|VT-15-8366
3020,multiple_real,2,2,153716|131785,VT-32-3047|WPS-132-7043
25003,multiple_real,2,2,124301|174459,09344730|VT-35-0771
JGI1705505X,multiple_real,2,2,120810|168128,09351093|VT-15-1342
223,multiple_real,2,2,175287|167429,VT-37-0742|VT-14-0900
78114,multiple_real,3,3,153310|172217|157362,VT-32-1403|VT-30-0488|VT-35-8114
61000676,multiple_real,2,2,175937|175920,VT-38-0870|VT-38-0633
500773TIN,multiple_real,2,2,137335|123813,WPS-812-02141|16100684
500775,multiple_real,2,2,137336|101734,WPS-812-02142|16021495
500779,multiple_real,2,2,137339|110816,WPS-812-02145|16010571
500779B,multiple_real,2,2,137340|123753,WPS-812-02146|16010572
JGI2541670DL,multiple_real,2,2,105197|144478,09350074|VT-15-1279
6795,one_real_rest_null,2,1,96979,18002321|WPS-82-96505
19135,multiple_real,2,2,171752|141273,VT-27-1227|WPS-865-01204
JGI12067AK,multiple_real,2,2,114172|168067,DS174906|VT-15-1167
78390,multiple_real,2,2,176633|168307,VT-42-1279|VT-15-8390
78361,multiple_real,2,2,168284|150229,VT-15-8361|VT-27-0471
10560030,multiple_real,2,2,137382|146832,WPS-827-07008|VT-20-0773
78564,multiple_real,2,2,167521|169976,VT-14-8564|VT-22-0132
70279,multiple_real,2,2,168899|153908,VT-17-0902|VT-32-7279
