catalog_unified_id,sku,name,source_vendor,correct_canonical_id,product_vendors_id,current_pv_canonical_id
58852,WPS-850-08160,18-PIN FML CONN W/TRMNLS ECM HD72664-12 ECM CONN 12-UP FX,WPS,180064,141541,92054
83933,VT-12-0949,Piston Wrist Pin Lock,VTWIN,180076,166622,94020
84575,VT-14-0501,V-Twin Rocker Arm O-Ring,VTWIN,180063,167264,91312
84577,VT-14-0503,Oil Pump Cap and Drain Plug O-Rings,VTWIN,180068,167266,92207
84771,VT-14-0952,V-Twin Pushrod Cover Seal Kit,VTWIN,180083,167460,114143
84852,VT-15-0102,V-Twin Cylinder Head Gaskets Copper,VTWIN,180072,167541,92310
89406,VT-28-2006,Lower Gas Tank Mount Rubber Grommet,VTWIN,180082,172095,99501
89643,VT-31-0115,Chrome Top Motor Mount 2 Piece Set,VTWIN,180077,172332,94910
