normalized_part_number,vendor_combo,member_count,skus
JGI1703583B,PU+VTWIN,2,VT-15-1169|DS173245
JGI1702686,PU+VTWIN,2,VT-15-1178|DS181178
JGI1703392,PU+VTWIN,2,VT-15-1192|DS173275
JGI2607799,PU+VTWIN,2,VT-15-1206|09342877
JGI3303199,PU+VTWIN,2,VT-15-1211|DS173238
JGI1677084B,PU+VTWIN,2,VT-15-1219|DS173438
JGI2526300X,PU+VTWIN,2,VT-15-1223|DS174347
JGI1704898,PU+VTWIN,2,VT-15-1236|DS173220
JGI3680506X,PU+VTWIN,2,VT-15-1261|09341194
JGI3680506F,PU+VTWIN,2,VT-15-1262|09341195
JGI3560706,PU+VTWIN,2,VT-15-1263|09350128
JGI2541699F,PU+VTWIN,2,VT-15-1422|09343435
JGI3495504F,PU+VTWIN,2,VT-15-1399|09350249
JGI3495575F,PU+VTWIN,2,VT-15-1425|09342115
JGI2524499F,PU+VTWIN,2,VT-15-1432|24041023
JGI1759199F,PU+VTWIN,2,VT-15-1444|09345084
JGI1759299F,PU+VTWIN,2,VT-15-1445|09345085
88082,PU+WPS,2,WPS-830-1191|DS189813
78678,VTWIN,2,VT-15-1766|VT-15-8678
2396029,VTWIN,2,VT-10-1121|VT-10-0127
77802,VTWIN,2,VT-15-7802|VT-15-0525
77838,VTWIN,2,VT-15-7838|VT-21-0347
78355,VTWIN,2,VT-15-8355|VT-27-1507
78367,VTWIN,2,VT-15-8367|VT-38-0513
78368,VTWIN,2,VT-15-8368|VT-38-0515
78394,VTWIN,2,VT-15-8394|VT-33-1627
78411,VTWIN,2,VT-15-8411|VT-33-1630
78464,VTWIN,2,VT-15-8464|VT-27-0849
78632,VTWIN,2,VT-15-8632|VT-32-1753
78644,VTWIN,2,VT-15-8644|VT-26-0011
78663,VTWIN,2,VT-15-8663|VT-27-0661
JGI6111448,PU+VTWIN,2,VT-15-1156|DS174517
345,PU+VTWIN,2,VT-25-3450|17420066
A3149367,PU+VTWIN,2,VT-17-0081|21100317
A3153065,PU+VTWIN,2,VT-17-0084|21100237
7087,PU+VTWIN,2,VT-17-0096|09251060
13162,PU+VTWIN,2,VT-17-0104|06401203
3561476,VTWIN,2,VT-17-0129|VT-17-0131
207800,PU+VTWIN,2,VT-17-0137|DS199428
W14182A,VTWIN,2,VT-17-0143|VT-17-1167
A3513136,PU+VTWIN,2,VT-17-0162|DS195162
A3604636,PU+VTWIN,2,VT-17-0171|DS196173
71380A,VTWIN,2,VT-21-0455|VT-21-0309
160900,PU+VTWIN,2,22120107|VT-33-2022
3309654B,PU+VTWIN,3,VT-17-0312|VT-17-0317|DS196011
3562579B,VTWIN,2,VT-17-0527|VT-17-0565
JGI1703383R,PU+VTWIN,2,VT-15-0845|DS173321
79111B,VTWIN,2,VT-26-0072|VT-28-3101
A3333579,PU+VTWIN,2,VT-17-0905|DS194398
A4751358,PU+VTWIN,2,VT-17-0909|13020250
A3999665,PU+VTWIN,2,VT-17-0915|11200189
A2555158,PU+VTWIN,2,VT-17-0921|09250290
A9054,VTWIN,2,VT-17-0942|VT-8798-12
3570,PU+VTWIN,2,VT-27-0327|DS3570
206330,PU+VTWIN,2,VT-17-8236|DS199412
206335,PU+VTWIN,2,VT-17-8237|DS199427
253050,PU+VTWIN,2,VT-17-8244|DS199433
299105,PU+VTWIN,2,VT-17-9105|DS199469
3309654AL,PU+VTWIN,2,VT-17-9145|DS196012
A3507980,PU+VTWIN,2,VT-17-9242|DS195163
A3507679,PU+VTWIN,2,VT-17-9850|DS193149
A3311979B,PU+VTWIN,2,VT-17-9854|11100044
296220,PU+VTWIN,2,VT-17-9857|DS199450
296585,PU+VTWIN,2,VT-17-9862|DS199454
296850,PU+VTWIN,2,VT-17-9899|DS199422
296591,PU+VTWIN,2,VT-17-9942|DS199457
296910,PU+VTWIN,2,VT-17-9943|DS199429
77413,VTWIN,2,VT-18-0452|VT-15-7413
148427,PU+VTWIN,2,VT-18-0725|11321830
13614Z,VTWIN,2,VT-18-0832|VT-18-3753
3023010030,PU+VTWIN,2,VT-18-1117|DS223766
A3787141,PU+VTWIN,2,VT-18-1127|11320572
JGI3143384,PU+VTWIN,2,VT-15-1150|DS173471
7081,PU+VTWIN,2,VT-18-3117|09320092
5139,PU+VTWIN,2,VT-18-3223|17103635
40130119006,PU+VTWIN,2,VT-18-3652|DS223745
A3790890,PU+VTWIN,2,VT-18-8260|11320282
344010,PU+VTWIN,2,09240390|VT-12-2556
203541,VTWIN,2,VT-19-0062|VT-19-0496
MCSCT2,VTWIN+WPS,2,VT-32-8041|WPS-275-01101
DMD4282RV82NRI,VTWIN,2,VT-19-0360|VT-19-0367
PCC126,PU+VTWIN,2,VT-20-0120|12040126
D26013929,PU+VTWIN,2,VT-20-0341|12030018
50803,VTWIN+WPS,2,VT-54-0434|WPS-194-50803
D26013930,PU+VTWIN,2,VT-20-0383|12030019
PCC132,PU+VTWIN,2,VT-20-0440|12040125
PCC136,PU+VTWIN,2,VT-20-0441|12040131
D26014232,PU+VTWIN,2,VT-20-0447|12030016
9017,PU+VTWIN,2,VT-23-9127|18610407
PCC130,PU+VTWIN,2,VT-20-0501|12040127
PCC139,PU+VTWIN,2,VT-20-0579|12040124
BDLSPC137118,PU+VTWIN,2,VT-20-0688|12040085
78530,VTWIN,2,VT-33-1646|VT-15-8530
TOOLING$750,VTWIN,2,VT-20-3012|VT-20-3013
BDLSPC1331,PU+VTWIN,2,VT-20-4019|12040052
BDLSPC1371,PU+VTWIN,2,VT-20-4020|12040061
PCC1401,PU+VTWIN,2,VT-20-4021|12040114
50212,PU+VTWIN,2,VT-21-2043|44020591
201145,PU+VTWIN,2,DS199407|VT-17-8226
19307,VTWIN,2,VT-23-0112|VT-50-9307
84515,PU+VTWIN,2,VT-23-0274|17020123
71502,PU+VTWIN,2,VT-23-0404|02100332
36965,PU+VTWIN,2,VT-23-0533|17020127
82560,VTWIN,2,VT-23-0851|VT-23-0852
77820,VTWIN,2,VT-23-0944|VT-15-7820
B060199AS,PU+VTWIN,2,VT-23-1000|17103158
B160918P,PU+VTWIN,2,VT-23-1128|17020345
71092,VTWIN,2,VT-23-1998|VT-12-0535
B160727,PU+VTWIN,2,VT-23-2354|17010754
50337,PU+WPS,2,WPS-87-9741|10101606
B160727MB,PU+VTWIN,2,VT-23-2355|17010753
B160728,PU+VTWIN,2,VT-23-2356|17010756
B160729,PU+VTWIN,2,VT-23-2358|17010762
B160730,PU+VTWIN,2,VT-23-2360|17010758
B160731,PU+VTWIN,2,VT-23-2362|17010760
JGI12014,PU+VTWIN,2,VT-14-0604|DS194475
B160733,PU+VTWIN,2,VT-23-2368|17010780
11860,VTWIN,2,VT-23-3021|VT-38-0372
826H.HF,PU+VTWIN,2,VT-23-4560|17220758
854H.LS,PU+VTWIN,2,VT-23-4563|17211777
B060195ASP,PU+VTWIN,2,VT-23-6764|17103048
O390301Z,PU+VTWIN,2,VT-37-1085|24011599
50353,PU+VTWIN,2,VT-25-0353|06360573
A2626280,PU+VTWIN,2,VT-13-0112|DS194222
73151,VTWIN,2,VT-46-0149|VT-33-1414
20324,PU+VTWIN,2,VT-25-3264|DS190138
H070591MB,PU+VTWIN,2,VT-26-0940|06100791
H070591NMB,PU+VTWIN,2,VT-26-0965|06102309
H070592NMB,PU+VTWIN,2,VT-26-0967|06102313
77840,VTWIN,2,VT-27-0386|VT-15-8740
105051,PU+VTWIN,2,VT-27-0534|12020010
77496C,PU+VTWIN,2,VT-27-1010|16210726
G150936,PU+VTWIN,2,VT-28-0234|11200079
20029,PU+VTWIN,2,VT-28-0412|04110085
1700341,PU+VTWIN,2,VT-28-0502|10220186
79112,PU+VTWIN,2,VT-28-3105|08010299
5534,PU+VTWIN,2,VT-16-1669|10103156
77244,VTWIN,2,VT-30-0356|VT-31-0319
14280,VTWIN+WPS,2,VT-30-0491|WPS-865-01007
510164,PU+VTWIN,2,VT-50-0146|14010325
C160114,PU+VTWIN,2,VT-31-0443|09330053
NTBWJ08,PU+VTWIN,2,21200837|VT-32-6688
S280056,PU+VTWIN,2,VT-31-0943|15050004
8819,VTWIN+WPS,2,WPS-874-1248|VT-30-0009
13407,PU+VTWIN,2,VT-34-0510|06400494
NU3408,PU+VTWIN,2,DS289501|VT-34-0901
A3157673,PU+VTWIN,2,VT-32-0059|21100452
A3157573,PU+VTWIN,2,VT-32-0307|DS194144
77503,PU+VTWIN,2,16010415|VT-47-0062
71074A,VTWIN,2,VT-32-0402|VT-32-8931
102033,PU+VTWIN,2,VT-32-0512|21020221
BA080010,PU+WPS,2,22100660|WPS-27-57012
62136,PU+VTWIN,2,VT-32-0603|07050043
JGI1677663XF,PU+VTWIN,2,09343142|VT-15-1441
NNSEB01,PU+VTWIN,2,11050275|VT-37-1076
1213,PU+VTWIN,2,09261171|VT-34-2113
H1001C,VTWIN+WPS,2,VT-32-0784|WPS-820-60113
F510645R,VTWIN+WPS,2,VT-50-1160|WPS-820-0402
18450,VTWIN,2,VT-32-0968|VT-32-8450
7471108C,PU+VTWIN,2,VT-32-0984|21120821
DC67,PU+VTWIN+WPS,3,VT-32-1066|WPS-133-1084|21020246
1013010014,PU+VTWIN,2,06521297|VT-36-2496
A3312693,PU+VTWIN,2,21100232|VT-32-9280
PH125HD09B,VTWIN,2,VT-32-1308|VT-32-7525
E210219,PU+VTWIN,2,VT-32-1517|21060549
74700031C,PU+VTWIN,2,VT-32-1710|21121317
29900038,PU+VTWIN,2,VT-32-1823|21121314
060147,PU+WPS,2,18611638|WPS-70-6147
1141,VTWIN,2,VT-32-5141|VT-28-0420
86266,VTWIN+WPS,2,WPS-820-51510|VT-35-9169
23961413,PU+VTWIN,2,VT-10-8356|DS194004
K2803,PU+VTWIN,2,VT-11-9984|09031677
20100,VTWIN,2,VT-39-0955|VT-38-2010
JGI6054036,PU+VTWIN,2,DS174344|VT-15-0905
JGI6352592,PU+VTWIN,2,DS174524|VT-40-9835
7000179,VTWIN,2,VT-32-7579|VT-32-7580
18300BN,PU+VTWIN,2,VT-32-7760|21100225
H070588B,VTWIN+WPS,2,WPS-820-1520B|VT-26-0980
MCVOS1,VTWIN+WPS,2,VT-32-9080|WPS-275-01150
A2491248A,PU+VTWIN,2,VT-12-1514|10120104
A4360882,PU+VTWIN,2,DS195406|VT-44-2025
A4329482,PU+VTWIN,2,DS195410|VT-44-2031
A3312690,PU+VTWIN,2,VT-32-9229|21100231
NHCXJ04,PU+VTWIN,2,21200367|VT-32-6676
9040CRK,PU+VTWIN,2,07050032|VT-35-0040
B160729MB,PU+VTWIN,2,VT-23-2359|17010761
1927,VTWIN,2,VT-50-1927|VT-16-0499
H6024,VTWIN,2,VT-33-0123|VT-33-2009
76989,PU+VTWIN,2,08030485|VT-27-0599
78044,PU,2,08200024|11070550
120011,PU+VTWIN+WPS,3,VT-33-0300|WPS-12-0011|04030175
H070749MB,PU+VTWIN,2,06101871|VT-26-2217
1705505MLS,PU+WPS,2,WPS-681-4001|09341600
63381,VTWIN,2,VT-38-0951|VT-38-0853
200334E,VTWIN,2,VT-33-2141|VT-33-2159
C770079,PU+VTWIN,2,VT-50-2076|15100158
C8043,PU+VTWIN,2,DS190692|VT-24-0602
260406,PU+VTWIN,2,VT-43-0129|11070282
NU3415,PU+VTWIN,2,VT-34-0903|DS289503
121002,PU+VTWIN,2,VT-40-0042|04040644
NU3425,PU+VTWIN,2,VT-34-0976|DS289511
060177A,PU+VTWIN,2,VT-23-0297|17101064
20731,VTWIN+WPS,2,VT-35-0380|WPS-865-01160
78842,VTWIN,2,VT-35-0600|VT-35-1178
78843,VTWIN,2,VT-35-0609|VT-35-1180
7507102,VTWIN,2,VT-35-0713|VT-35-0720
7527906,VTWIN,2,VT-35-0719|VT-35-1161
7520502,VTWIN,2,VT-35-1160|VT-35-0712
T030080NU,PU+VTWIN,2,VT-35-6108|07060229
86284,VTWIN+WPS,2,VT-35-9188|WPS-820-51513
030002AA,VTWIN,2,VT-35-9247|VT-35-9248
1013030009,PU+VTWIN,2,VT-36-0707|DS223879
1013040021,PU+VTWIN,2,VT-36-0763|DS223418
1013030012,PU+VTWIN,2,VT-36-0766|DS223590
1013010015,PU+VTWIN,2,VT-36-2352|06521301
1013040024,PU+VTWIN,2,VT-36-2466|DS223901
1013040008,PU+VTWIN,2,VT-36-2504|DS223909
288121,PU+VTWIN,2,VT-10-8121|DS199176
112907,PU+VTWIN,2,VT-35-9186|DS289112
37,VTWIN,2,VT-37-0756|VT-26-0509
BA072000,PU+WPS,2,WPS-28-61004|22110184
T030163,PU+VTWIN,2,VT-40-0923|07110244
JGI6352892,PU+VTWIN,2,VT-40-9833|DS174992
330054,PU+VTWIN,2,VT-42-0120|11070047
160260,VTWIN,2,VT-44-0569|VT-44-0570
78681,VTWIN,2,VT-44-0978|VT-15-8681
6021408,VTWIN,2,VT-50-0882|VT-50-0883
80142,PU+VTWIN,2,VT-50-1608|24010448
HDEG105,VTWIN,2,VT-51-1121|VT-51-1122
HDEG106,VTWIN,2,VT-51-1123|VT-51-1124
4012,VTWIN,2,VT-54-0152|VT-6945-2
12322,VTWIN,2,VT-8773-12|VT-48-0164
A2403770,PU+VTWIN,2,VT-10-0447|DS196143
20090,VTWIN,2,VT-10-0485|VT-25-1121
20091,VTWIN,3,VT-10-0486|VT-23-0600|VT-25-2277
A2558170,PU+VTWIN,2,VT-10-0705|DS194198
A3585284,PU+VTWIN,2,VT-10-1214|DS196153
A2555584,PU+VTWIN,2,VT-10-1254|09250289
2400680/83,PU+VTWIN,2,VT-10-8328|DS194191
292240,PU+VTWIN,2,VT-10-8527|21100036
212263,PU+VTWIN,2,VT-10-2263|09250292
46445PK,VTWIN,2,VT-37-0256|VT-37-0257
78275PK,VTWIN,2,VT-37-0387|VT-37-0386
40170,PU+VTWIN,3,VT-37-8623|VT-32-1212|35011823
202131M,PU+VTWIN,2,VT-11-2322|09262308
JGI1705499X,PU+VTWIN,2,VT-15-1352|20112100
JGI1704704X,PU+VTWIN,2,VT-15-1450|09341851
BDLSPC13424,PU+VTWIN,2,VT-20-4024|12040234
807H.HS,PU+VTWIN,2,VT-23-1960|17211751
7198,PU+WPS,2,WPS-874-1933|09320230
94642,VTWIN,2,VT-24-1931|VT-20-4642
H070595,PU+VTWIN,2,VT-26-0004|06101953
40254,PU+VTWIN,2,VT-32-1659|20101462
75770A,VTWIN,2,VT-49-1804|VT-49-0787
531061,VTWIN+WPS,2,VT-31-0377|WPS-820-2263
060458,PU+WPS,2,WPS-70-60458|06523231
153,PU+VTWIN,2,VT-51-2149|DS098153
7188,PU+WPS,2,WPS-874-1228|09251502
78807,PU+VTWIN,2,VT-35-1719|08012125
JGI2526390X,PU+VTWIN,2,VT-15-1256|09341186
70022,PU+VTWIN,2,VT-49-0629|24040840
71512,PU+VTWIN,2,VT-24-0115|02100338
14204,WPS,2,WPS-05-1177|WPS-820-50553
320465,PU+WPS,2,WPS-820-0505|05100335
298125,PU+VTWIN,2,VT-10-8125|DS199195
AC1157AAW,VTWIN+WPS,2,WPS-227-0014|VT-33-1584
C770098GB,PU+VTWIN,2,15100315|VT-37-1155
53214,PU+WPS,3,WPS-194-53214|06360276|06500751
1820,PU+VTWIN,2,VT-10-0569|09290015
10112,VTWIN+WPS,2,WPS-576-04282|VT-37-0825
202023M,PU+VTWIN,2,VT-11-2303|09262269
2021150,PU+VTWIN,2,VT-13-2115|09262930
7204,PU+VTWIN,2,VT-30-3027|09250518
170355,PU,2,17420648|10120234
5548,PU,2,17411047|10103328
37631,PU+VTWIN,2,17410384|VT-52-1412
4530,PU+VTWIN,2,17411001|VT-29-0033
77957,VTWIN,2,VT-43-0885|VT-15-7957
50332,PU+VTWIN,2,VT-25-2003|10101602
63664,VTWIN,2,VT-26-2215|VT-26-2213
JGI12045DL,PU+VTWIN,2,VT-14-0614|DS174376
40171,PU+VTWIN,2,VT-32-1213|35011824
JGI6111665,PU+VTWIN,2,VT-15-1067|DS174518
112923,PU+VTWIN,2,VT-35-9240|112923
50352,PU+VTWIN,2,VT-25-0352|06360572
W160125,PU+WPS,2,WPS-820-2382|13030197
5500501,PU+VTWIN,2,VT-32-1731|21010345
76743,VTWIN,2,VT-47-2203|VT-40-0673
77798,VTWIN,2,VT-24-0387|VT-15-7798
H070802MB1,PU+VTWIN,2,VT-26-2262|06102202
NHCXDB15,PU+VTWIN,2,VT-32-6663|21200228
SPC026,PU+VTWIN,2,VT-37-0468|24040058
86630,PU+VTWIN,2,VT-12-9902|09320087
40116,VTWIN+WPS,2,VT-32-0973|WPS-274-0030
79063,PU+VTWIN,2,VT-26-1022|08050041
352011,PU+VTWIN,2,VT-37-9530|24010708
1023040024,PU+VTWIN,2,VT-36-1506|DS223985
EVBB3T4,PU+VTWIN,2,VT-20-0609|11200248
84970,PU+VTWIN,2,VT-23-0863|17020606
21553,VTWIN,2,VT-38-1553|VT-38-1557
310008,PU+VTWIN,2,VT-10-0029|09200124
SPC015,PU+VTWIN,2,VT-37-0465|24040051
216321G,PU+VTWIN,2,VT-10-8163|09250168
204102,PU+VTWIN,2,VT-11-6096|09261453
JGI12052,PU+VTWIN,2,VT-14-0618|DS174343
G320324,PU+VTWIN,2,VT-27-1118|12020076
78749,VTWIN,2,VT-31-1478|VT-31-2003
JGI1705305,PU+VTWIN,2,VT-15-1339|09341594
20735,VTWIN+WPS,2,VT-35-0339|WPS-865-01164
76481,VTWIN,2,VT-10-0277|VT-32-6481
7324,PU+VTWIN,2,09251282|VT-35-0426
JGI1705205X,PU+VTWIN,2,VT-15-1357|09341593
A2558170+5,PU+VTWIN,2,09240272|VT-10-2525
JGI2541606X,PU+VTWIN,2,VT-15-1381|09341607
T216927,PU+VTWIN,2,22100199|VT-39-0212
6240SK3,PU+VTWIN,2,VT-20-0613|DS360102
78261,PU+VTWIN,2,DS189864|VT-15-8261
HDEG103,VTWIN,2,VT-51-1079|VT-51-1078
P509103C,PU,2,17420724|509103CH
1013030024,PU+VTWIN,2,VT-36-2464|DS223868
20034,PU+VTWIN,2,04110087|VT-32-2016
212440,PU+VTWIN,2,DS199299|VT-10-2440
7197,PU+WPS,2,WPS-874-1937|09251256
CB30LB,PU+VTWIN,2,RCB30LB|VT-53-0556
JGI1705599,PU+VTWIN,2,DS174204|VT-15-1246
50336,PU+VTWIN,2,VT-25-2014|10101605
27371,PU+WPS,2,04040308|WPS-830-1165
