normalized_part_number,vendor_combo,member_count,skus
729,VTWIN,2,VT-30-3120|VT-16-1027
312096,PU+VTWIN,2,VT-12-1949|09200008
A11096A,PU+VTWIN,2,VT-12-9992|DS188030
4859,VTWIN,2,VT-30-4859|VT-27-0554
84526,VTWIN+WPS,2,WPS-820-50837|VT-32-7001
8097,VTWIN,2,VT-30-8097|VT-40-0220
727K,PU+VTWIN,2,VT-16-1171|DS196400
3200396,PU+VTWIN,2,VT-10-3502|09220120
316278,PU+VTWIN,2,VT-15-0364|09320168
78582,VTWIN,2,VT-15-0492|VT-15-8582
JGI77XL,PU+VTWIN,2,VT-15-0850|DS173406
JGI2526300KX,PU+VTWIN,2,VT-15-1265|09341199
JGI12074K,PU+VTWIN,2,VT-15-1276|09350124
JGI3490685DL,PU+VTWIN,2,VT-15-1278|09350076
78623,VTWIN,2,VT-15-8623|VT-15-8621
78501,VTWIN,2,VT-15-1325|VT-47-0374
JGI6053881CF,PU+VTWIN,2,VT-15-1338|09344629
JGI1705505,PU+VTWIN,2,VT-15-1346|09341599
1677496XT2,PU+VTWIN,2,VT-15-1374|09341584
JGI2541699K,PU+VTWIN,2,VT-15-1383|11050037
JGI3303107,PU+VTWIN,2,VT-15-1393|09341620
78371,VTWIN,2,VT-15-1456|VT-15-8371
3303106,VTWIN+WPS,2,VT-15-1619|WPS-681-4028
2M4941,VTWIN+WPS,2,VT-11-1413|WPS-865-2049
H070593NMB,PU+VTWIN,2,06102322|VT-26-0971
20193,VTWIN,2,VT-25-0860|VT-28-0424
77348,VTWIN,2,VT-15-7348|VT-44-0888
SPC013,PU+VTWIN,2,24040049|VT-37-0463
L240436CMLED,PU+WPS,2,WPS-820-0352|20100769
50216,PU+VTWIN,2,VT-23-1011|44020595
2823,VTWIN+WPS,2,WPS-30-3634|VT-11-0907
70232,VTWIN,2,VT-32-0099|VT-38-0101
MCFPR1,VTWIN+WPS,2,WPS-275-01034|VT-32-0504
40253,PU+VTWIN,2,20101461|VT-32-1658
76067,PU+VTWIN,2,08010547|VT-37-1052
6031,PU+WPS,2,18010703|WPS-82-96014
MCTS2,VTWIN+WPS,2,WPS-275-01033|VT-32-0569
JGI4584906,PU+VTWIN,2,04070663|VT-14-0047
JGI11110,PU+VTWIN,2,DS174361|VT-14-0506
148150,VTWIN+WPS,2,WPS-820-50950|VT-18-1220
26514,PU+VTWIN,2,DS380318|VT-52-0697
1277,VTWIN,2,VT-32-1297|VT-16-0792
JGI2958301A,PU+VTWIN,2,09341617|VT-15-1390
20054,VTWIN,2,VT-32-1370|VT-10-2561
JGI1705405X,PU+VTWIN,2,09341597|VT-15-1349
1067,PU+VTWIN,2,11040006|VT-17-0119
78403,VTWIN,2,VT-32-1444|VT-15-8403
78405,VTWIN,2,VT-32-1479|VT-15-8405
PS500,PU+VTWIN,2,22145002|VT-19-0561
BDL371441,PU+VTWIN,2,DS360012|VT-20-0103
40243,VTWIN,2,VT-32-1652|VT-37-8342
PS250,PU+VTWIN,2,22145001|VT-19-0568
353,PU+VTWIN,2,17420108|VT-25-2200
PS1000,PU+VTWIN,2,22145004|VT-19-0570
E250091BT4,PU+VTWIN,2,VT-32-1909|21130667
76157,PU+VTWIN,2,08040290|VT-15-0369
801005,PU+VTWIN+WPS,3,VT-32-5122|WPS-280-1005|801005
78191,PU+VTWIN,2,14050285|VT-50-0536
76401,PU+VTWIN,2,08020327|VT-15-0389
71375,VTWIN,2,VT-32-7521|VT-32-0416
BDL30853BE,PU+VTWIN,2,DS360008|VT-20-0102
112338P,PU+VTWIN,2,10030195|VT-35-0151
DC11,PU+VTWIN,2,VT-32-7789|DC11
1062011,PU+VTWIN,2,10030237|VT-35-0924
W5752,PU+VTWIN,2,VT-11-9774|W5752
15410BN,VTWIN,2,VT-32-8999|VT-32-0967
370492,PU+VTWIN,2,06160205|VT-32-0264
NU3422,PU+VTWIN,2,DS289505|VT-34-0909
202061M,PU+VTWIN,2,VT-11-2332|09262288
120203,PU+VTWIN,2,VT-33-0616|09066318
