normalized_part_number,catalog_unified_id,sku,name,brand_part_number,source_vendor,canonical_product_id,canonical_sku
4017,31080,09290072,Lifters - Race Series® - Standard - M8,4017,PU,120371,CP-120372
4017,76942,VT-40-0346,Chrome Acorn Billet Canister Set,4017,VTWIN,129565,CP-129566
7001,41007,WPS-811-07001,OIL PUMP REBUILD KIT,7001,WPS,120329,CP-120330
7001,31037,09320019,Oil Pump Rebuild Kit - Twin Cam,7001,PU,120329,CP-120330
7001,87358,VT-23-0113,Rear Brake Caliper Bushing Short,7001,VTWIN,129575,CP-129576
7062,41011,WPS-811-07062,RACE SERIES OIL PUMP,7062,WPS,105055,CP-105056
7062,14906,09320026,Race Series® Oil Pump - Twin Cam,7062,PU,105055,CP-105056
7062,95932,VT-54-0412,Lower Rear Shock Stud Kit Zinc,7062,VTWIN,129579,CP-129580
V30HTCBS,17738,06303421,Ruffian Lock-On Street Grips - CVO - Black/Silver,V30HTCB-S,PU,107750,CP-107751
V30HTCBS,56656,WPS-206-40115,LOCK-ON RUFFIAN GRIPS BLACK/SILVER CVO `23-24,V30HTCB-S,WPS,(none),(none)
7082,56794,WPS-874-1231,TIRE BATTLECRUISE H50 FRONT 130/70B18 63H BIAS TL,7082,WPS,(none),(none)
7082,86730,VT-18-1213,Clutch Adjuster Screw,7082,VTWIN,169420,CP-169421
81029,25853,10102125,Monster Sucker® Air Cleaner Kit - Chrome,81-029,PU,98509,CP-098510
81029,8134,07100282,Bezel Dipstick - Black - Sportster,81029,PU,98509,CP-098510
81029,74101,VT-35-0472,Hose Clamp Assortment Set,81029,VTWIN,115447,CP-115448
40130063100,2116,DS223771,Drive Plate - L'84-'90 XL,40130063100,PU,92813,CP-092814
40130063100,86726,VT-18-1146,Clutch Steel Drive Plate Set,401-30-063100,VTWIN,169416,CP-169417
700005,20300,11070650,10-Gauge Derby Cover - Orange - Touring/Trike,700-005,PU,110224,CP-110225
700005,56464,WPS-70-700005,"ARMOR COAT CLUTCH CABLE 60.6"" INDIAN",70-0005,WPS,(none),(none)
6046B,22060,18011266,Black El Diablo Mufflers for Fat Bob,6046B,PU,111853,CP-111854
6046B,57247,WPS-82-96419,"EL DIABLO 4"" SLIP-ON BLACK FXFB/S 18-24",6046B,WPS,(none),(none)
7201,31030,09250533,Camchest Kit - HP+® - 525 Series - Chain Drive - Twin Cam,7201,PU,120323,CP-120324
7201,56855,WPS-874-1935,TUBE STANDARD 180/60B17 TR4  VALVE STEM,7201,WPS,(none),(none)
6795,6514,18002321,Speedster RPT Short Exhaust,6795,PU,96979,CP-096980
6795,57255,WPS-82-96505,SPEEDSTER SHORTS RPT CHRM FLFB/S  FXBR/S/DR 18-24,6795,WPS,(none),(none)
PV41504,28403,10204287,Power Vision 4 Fuel Injection Controller - M8,PV4-15-04,PU,117883,CP-117884
PV41504,56704,WPS-133-4023,POWER VISION 4 BLUETOOTH TUNER FOR `23.5-25 VVT,PV4-15-04,WPS,(none),(none)
B281350B,56322,WPS-750-05582,"STILETTO SHOCK 13.5"" M8 SOFTAIL",B28-1350B,WPS,(none),(none)
B281350B,5776,13102333,"Stiletto Shock - 13.5"" - Black",B28-1350B,PU,96273,CP-096274
062430,56444,WPS-70-602430,"TOP HALF BLACKOUT CABLE 44.7"" BLK  OE# 3720439",06-2430,WPS,(none),(none)
062430,11101,06523246,"Blackout Top Half Clutch Cable - +2-3/4""",06-2430,PU,101411,CP-101412
V30HTCHB,56658,WPS-206-40117,LOCK-ON RUFFIAN GRIPS GRAPHITE/BLACK CVO `23-24,V30HTCH-B,WPS,(none),(none)
V30HTCHB,34415,06303423,Ruffian Lock-On Street Grips - CVO - Graphite/Black,V30HTCH-B,PU,123629,CP-123630
V30HTCHU,56660,WPS-206-40119,LOCK-ON RUFFIAN GRIPS GRAPHITE/BLUE CVO `23-24,V30HTCH-U,WPS,(none),(none)
V30HTCHU,34426,06303425,Ruffian Lock-On Street Grips - CVO - Graphite/Blue,V30HTCH-U,PU,123640,CP-123641
81033,57125,WPS-820-53031,STEERING DAMPER KIT BLACK 20-25 FXLRS,81033,WPS,(none),(none)
81033,29918,04140735,Steering Damper - Black - '20-'25 FXLRS,81033,PU,119238,CP-119239
81033,66246,VT-24-1428,Black Fork Steering Damper Kit,81033,VTWIN,119238,CP-119239
