norm,product_id_a,product_id_b,sku_a,sku_b,vendor_a,vendor_b
A3507084,4470,85943,DS196237,VT-17-0062,PU,VTWIN
PS1500,26810,63860,22145006,VT-19-0601,PU,VTWIN
PS1500,26810,38126,22145006,WPS-290-01001,PU,WPS
PS1500,38126,63860,VT-19-0601,WPS-290-01001,VTWIN,WPS
BA050510,31909,44931,22120737,WPS-28-61011,PU,WPS
6251,27940,79153,18000635,VT-48-0302,PU,VTWIN
6251,55481,79153,VT-48-0302,WPS-82-96382,VTWIN,WPS
76154,27967,34112,24010458,08040292,PU,PU
6477,27974,69212,18002166,VT-30-3034,PU,VTWIN
88187,2264,83518,VT-11-1194,09310710,VTWIN,PU
88187,44989,83518,VT-11-1194,WPS-820-51549,VTWIN,WPS
88187,2264,44989,09310710,WPS-820-51549,PU,WPS
6853B,27979,57257,18002257,WPS-82-96507,PU,WPS
40173,27278,92838,20101455,VT-37-8573,PU,VTWIN
40173,27278,70523,20101455,VT-32-1215,PU,VTWIN
40173,70523,92838,VT-37-8573,VT-32-1215,VTWIN,VTWIN
1075,14897,62684,09261166,VT-16-1845,PU,VTWIN
1075,14897,50106,09261166,WPS-571-6107,PU,WPS
1075,50106,62684,VT-16-1845,WPS-571-6107,VTWIN,WPS
3073020013,26572,63533,VT-18-3271,11313882,VTWIN,PU
3527X,24127,61039,VT-11-9764,3527X,VTWIN,PU
JGI3329536X,3704,85084,VT-15-0595,DS174755,VTWIN,PU
40241,75490,96328,VT-37-4241,VT-10-0198,VTWIN,VTWIN
67312B,47265,76986,VT-40-0457,WPS-274-0765,VTWIN,WPS
02205,5192,37767,17010679,WPS-27-10901,PU,WPS
6055,6508,77913,18010719,VT-42-6055,PU,VTWIN
6020,14987,28016,18010365,09402010,PU,PU
6020,28016,59153,18010365,VT-10-0849,PU,VTWIN
6020,14987,59153,09402010,VT-10-0849,PU,VTWIN
62052,34995,74216,VT-35-0751,07050030,VTWIN,PU
40265,71352,75498,VT-32-8124,VT-37-4265,VTWIN,VTWIN
1218,30950,72290,VT-34-0170,09300155,VTWIN,PU
1218,72290,80857,VT-34-0170,VT-50-2200,VTWIN,VTWIN
1218,30950,80857,09300155,VT-50-2200,PU,VTWIN
M6XL5,38212,63560,VT-18-3684,WPS-39-1204,VTWIN,WPS
94640,64204,88472,VT-20-4640,VT-24-1926,VTWIN,VTWIN
H070780MB3,146,88792,06150270,VT-26-2226,PU,VTWIN
323055,14185,76826,07100253,VT-40-0022,PU,VTWIN
080529,39259,95414,VT-50-0807,WPS-57-8529,VTWIN,WPS
1215,3451,43091,09262976,WPS-59-9124,PU,WPS
1215,3451,57158,09262976,WPS-27-4736,PU,WPS
1215,3451,73703,09262976,VT-34-2115,PU,VTWIN
1215,43091,57158,WPS-59-9124,WPS-27-4736,WPS,WPS
1215,43091,73703,WPS-59-9124,VT-34-2115,WPS,VTWIN
1215,57158,73703,WPS-27-4736,VT-34-2115,WPS,VTWIN
D26014132,727,87002,12030015,VT-20-0706,PU,VTWIN
261210,28096,67381,24010426,VT-2612-10TW,PU,VTWIN
21058,28098,58586,19133005,WPS-830-1134,PU,WPS
5462,31351,72746,VT-33-5462,19010526,VTWIN,PU
76191,28133,44157,DS193619,WPS-830-1177,PU,WPS
76191,28133,61701,DS193619,VT-15-0623,PU,VTWIN
76191,44157,61701,WPS-830-1177,VT-15-0623,WPS,VTWIN
750820,28134,43959,DS193766,WPS-830-1109,PU,WPS
193002,47520,64065,VT-20-0371,WPS-820-51225,VTWIN,WPS
84411,28144,58641,DS190892,WPS-820-32000,PU,WPS
84411,28144,87510,DS190892,VT-23-0499,PU,VTWIN
84411,58641,87510,WPS-820-32000,VT-23-0499,WPS,VTWIN
214040,28155,43492,DS193829,WPS-830-1103,PU,WPS
214040,28155,59547,DS193829,VT-10-4040,PU,VTWIN
214040,25726,28155,DS193829,09250590,PU,PU
214040,43492,59547,WPS-830-1103,VT-10-4040,WPS,VTWIN
214040,25726,43492,WPS-830-1103,09250590,WPS,PU
214040,25726,59547,VT-10-4040,09250590,VTWIN,PU
K1746,36617,61094,VT-11-9954,09030583,VTWIN,PU
292017,25776,60172,09280095,VT-11-1208,PU,VTWIN
C10248,28242,85489,09351031,VT-15-1475,PU,VTWIN
DC101,28266,71455,DC101,VT-32-9035,PU,VTWIN
NWR1010020,11247,53998,WPS-850-09207,21201311,WPS,PU
NDP38064,48937,71548,WPS-850-08405,VT-32-9636,WPS,VTWIN
371036,44308,70706,WPS-820-50844,VT-32-1542,WPS,VTWIN
86160,72759,89877,VT-31-1315,VT-33-6160,VTWIN,VTWIN
D2KI1P,28348,71473,21010027,VT-32-9159,PU,VTWIN
D2KI1P,36950,71473,WPS-133-3014,VT-32-9159,WPS,VTWIN
D2KI2P,28349,71470,21010028,VT-32-9151,PU,VTWIN
D2KI2P,36953,71470,WPS-133-3015,VT-32-9151,WPS,VTWIN
DC68,28352,90441,21020307,VT-32-1086,PU,VTWIN
DC68,36928,90441,WPS-133-1085,VT-32-1086,WPS,VTWIN
8401,37965,67717,WPS-274-0044,VT-27-0930,WPS,VTWIN
8401,67717,70231,VT-32-0107,VT-27-0930,VTWIN,VTWIN
D2KI5P,28353,71472,21010031,VT-32-9155,PU,VTWIN
D2KI5P,36955,71472,VT-32-9155,WPS-133-3018,VTWIN,WPS
DC31,28357,71324,DC31,VT-32-8055,PU,VTWIN
DC31,36932,71324,VT-32-8055,WPS-133-1089,VTWIN,WPS
DSPT1,28359,71467,21010071,VT-32-9123,PU,VTWIN
DSPT1,36942,71467,WPS-133-3007,VT-32-9123,WPS,VTWIN
DSK62,28367,70393,DSK62,VT-32-0800,PU,VTWIN
DSK62,36939,70393,WPS-133-3004,VT-32-0800,WPS,VTWIN
JGI6053994F,9052,61835,09344631,VT-15-1337,PU,VTWIN
K2822,4392,88332,04050326,VT-24-0907,PU,VTWIN
202322C,31701,60083,09260706,VT-11-1036,PU,VTWIN
148407,20471,63376,11321828,VT-18-0272,PU,VTWIN
8105,28400,72785,DS289306,VT-33-8105,PU,VTWIN
8105,28400,69354,DS289306,VT-30-8105,PU,VTWIN
8105,69354,72785,VT-33-8105,VT-30-8105,VTWIN,VTWIN
8102,28401,88853,DS289303,VT-27-0049,PU,VTWIN
L126024CE,7313,71623,20300579,VT-33-0086,PU,VTWIN
NCBH02,11282,70982,VT-32-2216,21201403,VTWIN,PU
3300166,19305,96659,09250741,VT-10-8167,PU,VTWIN
JGI2699598,9006,84717,VT-14-0689,09340549,VTWIN,PU
6311BH,11679,46300,WPS-274-0501,07050092,WPS,PU
76312FCS,47257,74143,WPS-274-0720,VT-35-0595,WPS,VTWIN
106200,34532,47743,04080373,WPS-812-52297,PU,WPS
2023000,9293,60567,09263217,VT-11-2341,PU,VTWIN
6311CHO,25295,46299,WPS-274-0500,DS390510,WPS,PU
140110A,28797,72860,10110881,VT-34-0079,PU,VTWIN
112195,19750,74312,10030042,VT-35-0978,PU,VTWIN
120231,20061,41806,10120162,WPS-820-50514,PU,WPS
8070,31094,31337,09251612,11100043,PU,PU
8070,31094,53314,09251612,WPS-56-8070,PU,WPS
8070,31337,53314,11100043,WPS-56-8070,PU,WPS
350027,28616,94111,11050034,VT-43-0504,PU,VTWIN
71585,26222,78590,02100423,VT-45-0736,PU,VTWIN
H070601,29778,67095,VT-26-0009,06100792,VTWIN,PU
52672,41959,54960,WPS-194-52672,WPS-820-52100,WPS,WPS
52672,35861,41959,WPS-820-52100,06360651,WPS,PU
A3150165,3053,86368,21100450,VT-17-1503,PU,VTWIN
253103,20365,37515,11200281,WPS-22-53103,PU,WPS
B160917P,2546,87734,17020346,VT-23-1127,PU,VTWIN
20732,6552,58574,24010107,WPS-830-1102,PU,WPS
20732,6552,42976,24010107,WPS-865-01161,PU,WPS
20732,6552,91667,24010107,VT-35-0381,PU,VTWIN
20732,42976,58574,WPS-830-1102,WPS-865-01161,WPS,WPS
20732,58574,91667,WPS-830-1102,VT-35-0381,WPS,VTWIN
20732,42976,91667,WPS-865-01161,VT-35-0381,WPS,VTWIN
96784,47276,86760,WPS-820-54497,VT-18-3129,WPS,VTWIN
3023020009,2135,63566,VT-18-3693,DS223731,VTWIN,PU
28322,38612,41472,WPS-50-28322,WPS-82-8322,WPS,WPS
76281,71124,94107,VT-32-6281,VT-43-0458,VTWIN,VTWIN
420027,4267,85732,16100632,VT-16-0041,PU,VTWIN
DP4G,11280,90986,21200055,VT-32-9620,PU,VTWIN
DP4G,58779,90986,WPS-850-08022,VT-32-9620,WPS,VTWIN
46472,18514,77071,07100033,VT-40-0668,PU,VTWIN
18536,19858,71388,10100588,VT-32-8536,PU,VTWIN
201403,28758,51171,12102667,WPS-820-51158,PU,WPS
120230,28792,41805,10120161,WPS-820-50513,PU,WPS
A922128,28798,96372,09240181,VT-10-0320,PU,VTWIN
79059,34095,67828,08070011,VT-27-1305,PU,VTWIN
20092,66820,73988,VT-25-1122,VT-35-0235,VTWIN,VTWIN
20092,64074,66820,VT-25-1122,VT-20-0492,VTWIN,VTWIN
20092,64074,73988,VT-35-0235,VT-20-0492,VTWIN,VTWIN
201400,28806,51172,12102668,WPS-820-51159,PU,WPS
201406,28811,51169,12102662,WPS-820-51156,PU,WPS
7060,19479,41009,09320023,WPS-811-07060,PU,WPS
7060,19479,92625,09320023,VT-37-0799,PU,VTWIN
7060,41009,92625,WPS-811-07060,VT-37-0799,WPS,VTWIN
18014,36911,71024,WPS-132-7060,VT-32-3045,WPS,VTWIN
18014,36911,62841,WPS-132-7060,VT-17-0261,WPS,VTWIN
18014,62841,71024,VT-32-3045,VT-17-0261,VTWIN,VTWIN
260202CK,28842,77963,11050041,VT-43-0107,PU,VTWIN
NSAIH01,49019,70983,WPS-850-08655,VT-32-2223,WPS,VTWIN
NSAIH01,34339,70983,21201065,VT-32-2223,PU,VTWIN
1221,68858,75323,VT-37-1079,VT-30-0727,VTWIN,VTWIN
D330110,28852,93935,11070489,VT-42-1232,PU,VTWIN
NFAXH12,23336,71166,21201165,VT-32-7026,PU,VTWIN
NFAXH12,51060,71166,VT-32-7026,WPS-850-08992,VTWIN,WPS
76276,8385,85116,08020887,VT-15-0647,PU,VTWIN
500812,81486,95418,VT-52-0812,VT-50-0813,VTWIN,VTWIN
1001,14824,62400,09250513,VT-16-0643,PU,VTWIN
52830,15720,46380,WPS-820-0082,06360322,WPS,PU
52830,46380,51836,WPS-820-0082,WPS-194-52830,WPS,WPS
A6003,1685,86546,DS194280,VT-17-9853,PU,VTWIN
18753,25862,71433,10102479,VT-32-8753,PU,VTWIN
KB272.010,42339,60501,WPS-824-01258,VT-11-2230,WPS,VTWIN
BDL1185,25226,63993,DS360009,VT-20-0117,PU,VTWIN
170418N,28913,89028,16210160,VT-27-0914,PU,VTWIN
770070,29262,70150,VT-31-9951,35010159,VTWIN,PU
106A,39003,77328,WPS-57-0106,VT-41-0132,WPS,VTWIN
350131,75747,92886,VT-37-8787,VT-37-8969,VTWIN,VTWIN
K1662,36667,61072,K1662,VT-11-9892,PU,VTWIN
JGI2522536CX,9069,61779,09341184,VT-15-1267,PU,VTWIN
144005,28960,48876,11321476,WPS-820-52463,PU,WPS
144005,28960,63412,11321476,VT-18-0534,PU,VTWIN
144005,48876,63412,WPS-820-52463,VT-18-0534,WPS,VTWIN
77324,67147,83163,VT-15-7324,VT-26-0117,VTWIN,VTWIN
762,78447,93846,VT-47-2206,VT-42-0700,VTWIN,VTWIN
762,78447,79045,VT-47-2206,VT-47-2205,VTWIN,VTWIN
762,79045,93846,VT-42-0700,VT-47-2205,VTWIN,VTWIN
1066068,3858,61306,VT-12-5240,09250512,VTWIN,PU
P776005,41673,67614,WPS-820-1963,VT-27-0702,WPS,VTWIN
18505,4514,72907,10100179,VT-34-0178,PU,VTWIN
F510646ME,29041,95299,20401963,VT-50-0046,PU,VTWIN
F510646CE,29042,95298,20401964,VT-50-0045,PU,VTWIN
62054,18422,74737,07050031,VT-35-9353,PU,VTWIN
E210214K,29047,90442,21060248,VT-32-1088,PU,VTWIN
210209GBK,29048,70789,21060253,VT-32-1690,PU,VTWIN
T030150,14189,93624,07110213,VT-40-0830,PU,VTWIN
76387,11152,29050,20300171,08030230,PU,PU
E210214GBK,29053,90540,21060250,VT-32-1698,PU,VTWIN
76705F,29057,77425,21070053,VT-42-0168,PU,VTWIN
110296K,28839,41756,11070036,WPS-820-2670,PU,WPS
70277,61961,93746,VT-15-7027,VT-42-0300,VTWIN,VTWIN
JGI3523136,3670,84681,DS174892,VT-14-0638,PU,VTWIN
77971,62092,90543,VT-15-7971,VT-32-1725,VTWIN,VTWIN
78283,62120,77755,VT-15-8283,VT-42-1200,VTWIN,VTWIN
V30HTCBB,34440,56655,06303420,WPS-206-40114,PU,WPS
H070574S,17485,67267,06102302,VT-26-0973,PU,VTWIN
JGI4584377,3632,84694,DS173420,VT-14-0652,PU,VTWIN
241003,29750,41641,06020400,WPS-820-1347C,PU,WPS
78587,62185,86408,VT-15-8587,VT-17-8084,VTWIN,VTWIN
4731SK2,5469,64102,DS360108,VT-20-0623,PU,VTWIN
A3512936,4440,83903,VT-12-0918,DS188066,VTWIN,PU
H0707892,21681,67360,VT-26-2218,06101873,VTWIN,PU
202036M,19391,60538,09262279,VT-11-2313,PU,VTWIN
110050,18218,69530,06580009,VT-31-0338,PU,VTWIN
110050,18218,74830,06580009,VT-36-0610,PU,VTWIN
110050,39042,74830,WPS-57-10050,VT-36-0610,WPS,VTWIN
110050,69530,74830,VT-31-0338,VT-36-0610,VTWIN,VTWIN
JGI1703478S,24515,85384,DS174982,VT-15-1188,PU,VTWIN
E250091BD2,29389,70875,VT-32-1866,21130665,VTWIN,PU
JGI1677763,1558,85274,DS174479,VT-15-0989,PU,VTWIN
352102,29215,93104,24010689,VT-37-9541,PU,VTWIN
216326,25780,59617,VT-10-8139,09250113,VTWIN,PU
88461,30377,45805,09310822,WPS-820-51547,PU,WPS
88461,30377,83519,09310822,VT-11-1195,PU,VTWIN
88461,45805,83519,WPS-820-51547,VT-11-1195,WPS,VTWIN
E250091BT5,29226,70905,21130668,VT-32-1910,PU,VTWIN
E250091BT2,29230,70902,21130663,VT-32-1907,PU,VTWIN
148138,29234,63619,21100205,VT-18-8307,PU,VTWIN
323499,31836,46934,03650046,WPS-232-3499,PU,WPS
AH4620,71638,72446,VT-33-0141,VT-33-1823,VTWIN,VTWIN
E250091BD9,29247,90594,21130797,VT-32-1978,PU,VTWIN
120002,5125,36791,WPS-12-0002,04030165,WPS,PU
770044CKNU,29263,89809,35010258,VT-31-0818,PU,VTWIN
6482010,45209,59762,VT-11-0177,WPS-865-02032,VTWIN,WPS
6482020,45210,59763,VT-11-0178,WPS-865-02033,VTWIN,WPS
H070591N,1627,88718,06102308,VT-26-0964,PU,VTWIN
6127020,45201,59772,VT-11-0187,WPS-865-02023,VTWIN,WPS
792105,29325,57617,21100072,WPS-279-2105,PU,WPS
792106,29326,57618,21100073,WPS-279-2106,PU,WPS
801004,29370,71103,21100446,VT-32-5118,PU,VTWIN
801004,29370,57624,21100446,WPS-280-1004,PU,WPS
801004,57624,71103,VT-32-5118,WPS-280-1004,VTWIN,WPS
40120,4684,71142,16100526,VT-32-6672,PU,VTWIN
102031,29374,90256,21020220,VT-32-0513,PU,VTWIN
120049RW,22508,41520,WPS-820-0386,20300016,WPS,PU
103070B,8819,51018,06040235,WPS-812-52401,PU,WPS
E250091BD1,29387,70866,21130662,VT-32-1846,PU,VTWIN
110042,39037,92178,WPS-57-10042,VT-36-2416,WPS,VTWIN
110042,34004,92178,VT-36-2416,06580005,VTWIN,PU
77432,61915,88367,VT-15-7432,VT-24-1063,VTWIN,VTWIN
NM334820802,11290,91004,21200328,VT-32-9687,PU,VTWIN
NM334820802,58903,91004,WPS-850-08328,VT-32-9687,WPS,VTWIN
76722,18654,59123,08010745,VT-10-0786,PU,VTWIN
8636,53321,77964,WPS-56-8636,VT-43-0145,WPS,VTWIN
512HF,15628,65647,17220738,VT-23-4550,PU,VTWIN
201401,20528,51173,12102669,WPS-820-51160,PU,WPS
500751B,34541,49410,WPS-812-55001,16202278,WPS,PU
BA051211,31930,43984,22110170,WPS-27-5797BK,PU,WPS
23145,47392,84949,WPS-820-50573,VT-15-0228,WPS,VTWIN
352118,29429,93100,24010697,VT-37-9535,PU,VTWIN
H070593,29787,67086,06101682,VT-26-0000,PU,VTWIN
MDP3B,1245,90694,21200310,VT-32-6539,PU,VTWIN
MDP3B,58803,90694,WPS-850-08047,VT-32-6539,WPS,VTWIN
352018,29434,75840,24010715,VT-37-9533,PU,VTWIN
781212,24523,44159,WPS-830-1181,DS189812,WPS,PU
500761,8734,49414,WPS-812-55004,16202281,WPS,PU
MCCBR4,38007,90235,WPS-275-01013,VT-32-0436,WPS,VTWIN
46468,29480,47429,78053040,WPS-820-32020,PU,WPS
46468,29480,87542,78053040,VT-23-0582,PU,VTWIN
46468,47429,87542,WPS-820-32020,VT-23-0582,WPS,VTWIN
JGI12026B,1709,84654,VT-14-0608,DS194455,VTWIN,PU
NNSEP01,34217,75237,VT-37-1075,11050236,VTWIN,PU
NNSEP01,49178,75237,VT-37-1075,WPS-850-08980,VTWIN,WPS
77460,14482,61762,21070329,VT-15-7460,PU,VTWIN
C8042T,31146,42581,WPS-830-1061,24010295,WPS,PU
B160728MB,2507,87912,17010755,VT-23-2357,PU,VTWIN
781114,24741,44158,WPS-830-1180,DS193811,WPS,PU
JGI12066,3645,84705,VT-14-0665,DS194084,VTWIN,PU
D110307,14187,93649,07100284,VT-40-1103,PU,VTWIN
78647,70865,85705,VT-32-1845,VT-15-8647,VTWIN,VTWIN
78270,62111,93253,VT-15-8270,VT-38-0987,VTWIN,VTWIN
NM334720801,3999,90997,21200319,VT-32-9678,PU,VTWIN
NM334720801,58888,90997,WPS-850-08312,VT-32-9678,WPS,VTWIN
27361,6538,58590,04040307,WPS-830-1164,PU,WPS
440520,3263,84050,VT-12-1313,11060232,VTWIN,PU
78260,62102,62103,VT-15-8260,VT-15-8259,VTWIN,VTWIN
78260,62103,93867,VT-15-8260,VT-42-0787,VTWIN,VTWIN
78260,62102,93867,VT-15-8259,VT-42-0787,VTWIN,VTWIN
61126,81887,84004,VT-54-0105,VT-12-1188,VTWIN,VTWIN
304,28661,94047,17420046,VT-43-0198,PU,VTWIN
78291,62128,77748,VT-42-1192,VT-15-8291,VTWIN,VTWIN
A8905,29872,83719,09240586,VT-12-0398,PU,VTWIN
323057,29874,76828,07100255,VT-40-0024,PU,VTWIN
H070574SMB,17490,67268,06102303,VT-26-0974,PU,VTWIN
84889,29917,66191,04140527,VT-24-1243,PU,VTWIN
W160333,29933,92300,02140450,VT-37-0041,PU,VTWIN
20358,5124,78585,04150051,VT-45-0714,PU,VTWIN
2620491A,29936,84238,09320189,VT-12-9929,PU,VTWIN
H0707804,30014,88791,06150273,VT-26-2224,PU,VTWIN
NWR110020,33135,54000,21201313,WPS-850-09209,PU,WPS
26388,2042,58578,24010913,WPS-830-1106,PU,WPS
L216094,22281,72107,20010278,VT-33-1245,PU,VTWIN
A25313SET,3359,84117,09500364,VT-12-1509,PU,VTWIN
R122RS,30142,83682,11320198,VT-12-0341,PU,VTWIN
120201,14206,91176,09066316,VT-33-0615,PU,VTWIN
594,30359,82772,07060005,VT-8206-9,PU,VTWIN
87972,29867,44974,04140528,WPS-820-52289,PU,WPS
87972,29867,66229,04140528,VT-24-1378,PU,VTWIN
87972,44974,66229,WPS-820-52289,VT-24-1378,WPS,VTWIN
71541,26220,89502,02100356,VT-30-0208,PU,VTWIN
DR3B,1229,90972,21200042,VT-32-9607,PU,VTWIN
DR3B,58764,90972,WPS-850-08007,VT-32-9607,WPS,VTWIN
030320ABA,14402,41716,07030815,WPS-820-2307,PU,WPS
030320ABA,14402,76315,07030815,VT-38-1739,PU,VTWIN
030320ABA,41716,76315,WPS-820-2307,VT-38-1739,WPS,VTWIN
A6767B,30648,61180,09270008,VT-12-0715,PU,VTWIN
9015,41025,86818,VT-23-9115,WPS-811-09015,VTWIN,WPS
9015,22131,86818,VT-23-9115,18610403,VTWIN,PU
9015,22131,41025,WPS-811-09015,18610403,WPS,PU
70257,71071,90102,VT-32-3103,VT-32-0121,VTWIN,VTWIN
110066,30656,39044,17416839,WPS-57-10066,PU,WPS
1703286MLS,394,58100,09341587,WPS-681-5220,PU,WPS
110067,30658,39045,17416845,WPS-57-10067,PU,WPS
110067,30658,92215,17416845,VT-36-2570,PU,VTWIN
110067,39045,92215,WPS-57-10067,VT-36-2570,WPS,VTWIN
P9658,30697,42589,24010307,WPS-830-1068,PU,WPS
0610,35353,39502,WPS-60-1305,08220614,WPS,PU
P8815,30906,42562,DS175021,WPS-830-1032,PU,WPS
1235,30930,89020,09270043,VT-27-0900,PU,VTWIN
JGI12074,3507,84719,09350123,VT-14-0696,PU,VTWIN
3026,30931,40992,24010203,WPS-811-03026,PU,WPS
354,29291,66981,17420109,VT-25-2201,PU,VTWIN
JGI3495575X,1586,85368,DS174961,VT-15-1153,PU,VTWIN
2070,30937,40984,09250436,WPS-811-02070,PU,WPS
1002,30938,79967,09250514,VT-49-0945,PU,VTWIN
4000,30946,40995,09290005,WPS-811-04000,PU,WPS
H070601MB,8045,67096,06100793,VT-26-0010,PU,VTWIN
ST80082,72012,72043,VT-33-1096,VT-33-1036,VTWIN,VTWIN
4061,30948,41001,09290018,WPS-811-04061,PU,WPS
5607,30962,67466,10103342,VT-27-0230,PU,VTWIN
3075,30966,51490,07100272,WPS-85-03075,PU,WPS
3048,30984,40994,24010816,WPS-811-03048,PU,WPS
7088,14817,85972,09251061,VT-17-0097,PU,VTWIN
5523,6373,31011,10103149,17411033,PU,PU
600,18545,25158,07110063,DS305504,PU,PU
600,18545,50123,07110063,WPS-571-6110,PU,WPS
600,13058,18545,07110063,21200547,PU,PU
600,25158,50123,DS305504,WPS-571-6110,PU,WPS
600,13058,25158,DS305504,21200547,PU,PU
600,13058,50123,WPS-571-6110,21200547,WPS,PU
JGI1705499,1058,61841,VT-15-1350,20112101,VTWIN,PU
76716,34075,67166,08010769,VT-26-0415,PU,VTWIN
2020412,31833,37434,24010578,WPS-191-57096,PU,WPS
1008,31028,36887,09250429,WPS-132-7015,PU,WPS
3033,31041,90014,24010874,VT-31-4186,PU,VTWIN
352100,13876,93105,24010688,VT-37-9545,PU,VTWIN
PCC1311,1780,87066,12040112,VT-20-4022,PU,VTWIN
NU3426,25126,73230,VT-34-0984,DS289514,VTWIN,PU
1000,31073,87491,09250670,VT-23-0437,PU,VTWIN
1217,31082,73771,09300237,VT-34-2706,PU,VTWIN
JGI3680187X,9140,85409,DS174539,VT-15-1230,PU,VTWIN
5421,10623,31110,10103135,06510416,PU,PU
352015,29220,75839,24010712,VT-37-9532,PU,VTWIN
20049,43922,90191,VT-32-0354,WPS-85-1036,VTWIN,WPS
53129,35885,69654,06360267,VT-31-0737,PU,VTWIN
53129,50757,69654,WPS-194-53129,VT-31-0737,WPS,VTWIN
P101407,31151,42563,24010277,WPS-830-1038,PU,WPS
3042,14852,40993,24010813,WPS-811-03042,PU,WPS
A4356035A,16459,61181,02130387,VT-12-0720,PU,VTWIN
GBDU003,31171,57322,17104923,WPS-17-DU003,PU,WPS
MDP6B,58805,90695,VT-32-6540,WPS-850-08049,VTWIN,WPS
MDP6B,4037,90695,VT-32-6540,21200397,VTWIN,PU
NA1740562,58810,90696,VT-32-6541,WPS-850-08119,VTWIN,WPS
NA1740562,4038,90696,VT-32-6541,21200401,VTWIN,PU
78636,62205,68239,VT-28-0667,VT-15-8636,VTWIN,VTWIN
3303176L,31325,86395,DS174297,VT-17-6010,PU,VTWIN
24761,31326,59077,DS194273,VT-10-0631,PU,VTWIN
700000,4400,49426,WPS-70-7000,11070647,WPS,PU
8960,31329,82243,11200242,VT-7134-8,PU,VTWIN
1370,31000,31330,DS199555,09250748,PU,PU
1020,31331,51485,DS325780,WPS-85-01020,PU,WPS
1020,31331,63066,DS325780,VT-17-1020,PU,VTWIN
1020,8634,31331,DS325780,09250673,PU,PU
1020,51485,63066,WPS-85-01020,VT-17-1020,WPS,VTWIN
1020,8634,51485,WPS-85-01020,09250673,WPS,PU
1020,8634,63066,VT-17-1020,09250673,VTWIN,PU
1747,31332,71178,02140838,VT-32-7126,PU,VTWIN
8600,31333,63189,11030064,VT-17-2147,PU,VTWIN
8611,31334,63191,11030066,VT-17-2149,PU,VTWIN
8612,31335,63192,11030067,VT-17-2150,PU,VTWIN
P104808,23857,45809,24011001,WPS-830-1090,PU,WPS
2401780,31341,83827,DS198836,VT-12-0610,PU,VTWIN
77445,61623,87314,VT-22-1679,VT-15-7445,VTWIN,VTWIN
7003,59728,87312,VT-22-0965,VT-11-0109,VTWIN,VTWIN
24621,31343,59079,DS194369,VT-10-0634,PU,VTWIN
24561,31344,59084,DS194107,VT-10-0645,PU,VTWIN
E210218,7574,90241,21060548,VT-32-0451,PU,VTWIN
5401,31113,31350,19010419,10102831,PU,PU
5401,31350,72745,19010419,VT-33-5401,PU,VTWIN
5401,31113,72745,10102831,VT-33-5401,PU,VTWIN
24741,31352,59076,DS194272,VT-10-0630,PU,VTWIN
3303180,31355,63236,DS174298,VT-17-6020,PU,VTWIN
71188,77163,89482,VT-40-1188,VT-30-0112,VTWIN,VTWIN
62141,35015,61534,VT-14-0701,13040340,VTWIN,PU
O390303Z,1364,92717,24011601,VT-37-1087,PU,VTWIN
5810,52724,62552,WPS-57-05810,VT-16-1184,WPS,VTWIN
8020,8712,53308,WPS-56-8020,24010127,WPS,PU
73101,27285,78687,VT-46-0124,21020484,VTWIN,PU
3067,8648,69141,24011102,VT-30-1915,PU,VTWIN
H070595NMB,29824,88723,06102318,VT-26-0969,PU,VTWIN
40039,5859,55581,20402028,WPS-820-27502,PU,WPS
JGI6054706K,31506,61776,09341201,VT-15-1264,PU,VTWIN
JGI1704292X,31517,61830,09341726,VT-15-1359,PU,VTWIN
NA14803500,8524,90839,21200417,VT-32-8032,PU,VTWIN
NA14803500,58843,90839,WPS-850-08152,VT-32-8032,WPS,VTWIN
JGI1677084A,31542,85041,DS174924,VT-15-0414,PU,VTWIN
JGI1704798,31544,61773,DS173219,VT-15-1235,PU,VTWIN
JGI2522570K,31546,85209,DS173319,VT-15-0871,PU,VTWIN
O390302Z,13796,92716,24011600,VT-37-1086,PU,VTWIN
JGI92FLHR,31548,61771,DS173382,VT-15-1226,PU,VTWIN
JGI3490194K,31556,85213,DS174952,VT-15-0875,PU,VTWIN
105125G,34589,50273,WPS-812-52313,04040566,WPS,PU
120025,36821,71762,VT-33-0407,WPS-12-0250,VTWIN,WPS
120025,34024,71762,VT-33-0407,24010390,VTWIN,PU
JGI1677766SX,31559,85352,DS174980,VT-15-1122,PU,VTWIN
JGI1703890,31561,85199,DS173315,VT-15-0847,PU,VTWIN
JGI54XL,31563,61735,DS173407,VT-15-0849,PU,VTWIN
JGI81FL,31564,61741,DS173374,VT-15-0854,PU,VTWIN
JGI1795548FL,31567,84706,DS194493,VT-14-0667,PU,VTWIN
NCBH01C,34250,70910,VT-32-1917,21200973,VTWIN,PU
NCBH01C,49018,70910,VT-32-1917,WPS-850-08654,VTWIN,WPS
JGI1735884A,31569,85285,DS174413,VT-15-1002,PU,VTWIN
JGI1704192A,31570,85180,DS174532,VT-15-0808,PU,VTWIN
JGISE1,31571,61757,DS174743,VT-15-1075,PU,VTWIN
JGI4584975,31572,84498,DS174785,VT-14-0041,PU,VTWIN
JGI4584971,31573,84497,DS174787,VT-14-0039,PU,VTWIN
JGI12050K,31576,61764,DS174907,VT-15-1166,PU,VTWIN
JGI3523039K,31577,85375,DS174909,VT-15-1164,PU,VTWIN
JGI11133V2,31580,84709,DS194458,VT-14-0671,PU,VTWIN
