sku,product_name,product_url,price,oem_no,fitment_raw,description,uom,finish,manufacturer,origin,catalog_pages,replacement_items,tech_note,extra_attributes,source,error
16-1850,Shaft Turning Tool,https://www2.vtwinmfg.com/shaft-turning-tool-1.html,$35.52,,FLST 1986-2005 | FXD 1991-2005 | FX 1971-1984 | FXST 1984-2005 | FL 1955-1984 | FXR 1982-2005 | FLT 1979-2005,"Shaft turning tool allows engine to be turned over by 1/2"" ratchet or impact driver. Spline type for TC models.",1 - EA,,Motorshop,Imported,,,,,product_page,
31-0201,"Inspection Tag Holder 1/2"" Mount Stainless Steel",https://www2.vtwinmfg.com/inspection-tag-holder-1-2-mount-stainless-steel.html,$20.87,,All models,"Inspection tag holder has a stainless steel finish with rounded corners on all sides and edges. Tag holder is strong , light weight and looks great. Plate area measures 3-1/2"" X 4-1/4"" with a 1/4"" mount hole. Can be mounted to footpeg or shock studs. Fits nicely behind left or right passenger footpeg.",1 - EA,,V-Twin,Imported,341,,,,product_page,
41-0151,Gasoila Red Varnish Sealant,https://www2.vtwinmfg.com/gasoila-red-varnish-sealant.html,$69.22,,All models,"Gasoila sealant, hard setting red varnish comes in a 4 ounce jar and includes brush. This is the original sealer for inside crank cases or cam covers. Seals pin holes on porous surfaces. Sealer is insoluble in oil, gas and solvents.",1 - EA,,Federal Process,USA,494,,,,product_page,
49-2655,Spring Fork Brake Stay Tab,https://www2.vtwinmfg.com/spring-fork-brake-stay-tab.html,$39.80,,WL 1936-1952 | FL 1941-1948 | EL 1936-1940 | UL 1937-1948 | G 1936-1957,Raw Spring Fork brake stay tab must be welded on,1 - EA,,V-Twin,Imported,796,,,,product_page,
41-0194,Spectro Heavy Duty DOT 5 Silicone Brake Fluid,https://www2.vtwinmfg.com/dot-5-brake-fluid.html,$53.29,,All models,Spectro heavy duty golden blend DOT 5 silicone brake fluid comes in a 12 ounce bottle. Designed to surpass all DOT 5 specifications and requirements. Heavy duty DOT 5 is the ideal brake fluid for all Twins specifying a DOT 5 fluid but its better because this fluid beats spec in every way. Meets full OEM requirements and should be used according to the manufacturer's instructions. This fluid is non-hygroscopic and will not absorb water or harm painted surfaces. Specially formulated for all applications. **NOTE: Do not use when DOT 5.1 or DOT 4 fluid is specified.,1 - EA,,Spectro Oils,USA,1288,,,,product_page,
16-0529,Mini Motorcycle Lift Tool,https://www2.vtwinmfg.com/mini-motorcycle-lift-tool-16-0529.html,$212.32,,All models,"Use the lift on the table or floor to free wheels. 1000 lb capacity with rubber padded top. Mini bike life tool has a wide stance and fully rubberized top plate, features Road Warrior bright orange finish with a rubber padded top. V-Twin exclusive!",1 - EA,,Motorshop,Imported,1289,16-0530 - Replacement Threaded Lift Rod,,"{""Measurements"": ""Lowered Height: 3-1/2\"" Max Raised Height: 16\"" Length: 17-1/2\"""", ""Lowered Height: 3-1/2\"""": ""Max Raised Height: 16\"""", ""Other Notes"": ""Width: 5-9/10\""""}",product_page,
23-0000,Assorted Brake Pad Kit,https://www2.vtwinmfg.com/assorted-brake-pad-kit.html,$89.89,,Special application has 6 different models pads,"Assorted front and rear pads for six different models with factory numbers. Brake pads have factory replacement numbers listed for reference. Model fitments are labeled under each pad. Kit includes front and rear pads.                                                                                                                                                                                                                                                                                                                                                                          *Note: UPS may consider this part as packaged ""oversize"" for shipment, as compared to the actual weight, which will result in higher shipping costs.",1 - KIT,,V-Twin,Imported,610,,,"{""Location"": ""Front or Rear"", ""Material"": ""Organic""}",product_page,
16-0529,Mini Motorcycle Lift Tool,https://www2.vtwinmfg.com/mini-motorcycle-lift-tool-16-0529.html,$212.32,,All models,"Use the lift on the table or floor to free wheels. 1000 lb capacity with rubber padded top. Mini bike life tool has a wide stance and fully rubberized top plate, features Road Warrior bright orange finish with a rubber padded top. V-Twin exclusive!",1 - EA,,Motorshop,Imported,1289,16-0530 - Replacement Threaded Lift Rod,,"{""Measurements"": ""Lowered Height: 3-1/2\"" Max Raised Height: 16\"" Length: 17-1/2\"""", ""Lowered Height: 3-1/2\"""": ""Max Raised Height: 16\"""", ""Other Notes"": ""Width: 5-9/10\""""}",product_page,
41-0194,Spectro Heavy Duty DOT 5 Silicone Brake Fluid,https://www2.vtwinmfg.com/dot-5-brake-fluid.html,$53.29,,All models,Spectro heavy duty golden blend DOT 5 silicone brake fluid comes in a 12 ounce bottle. Designed to surpass all DOT 5 specifications and requirements. Heavy duty DOT 5 is the ideal brake fluid for all Twins specifying a DOT 5 fluid but its better because this fluid beats spec in every way. Meets full OEM requirements and should be used according to the manufacturer's instructions. This fluid is non-hygroscopic and will not absorb water or harm painted surfaces. Specially formulated for all applications. **NOTE: Do not use when DOT 5.1 or DOT 4 fluid is specified.,1 - EA,,Spectro Oils,USA,1288,,,,product_page,
26-1012,Ultima Vintage Control Kit Chrome,https://www2.vtwinmfg.com/chrome-hand-lever-control-kit.html,$505.35,,Custom application,"Ultima chrome vintage control kit includes the clutch and brake, for use with 1"" handlebars. Master cylinder is 9/16"" bore for single disc use. Direct bolt on application for 5-speed models. Requires an eyelet style end clutch cable for use on 4-speed models.                                                                                                                                                                                                                                                                                                                                                                                                 *NOTE: Can you be used with both D.O.T. 4 and D.O.T. 5 brake fluid.",1 - KIT,,Ultima,Imported,1065,23-0006 - Handlebar Master Cylinder Chrome 26-0886 - Ultima Hand Lever Control Set 26-0057 - Vintage Handlebar Clutch Handle Assembly Chrome,Required to use with #23-1026 Master Cylinder Rebuild Kit.,,product_page,
16-0529,Mini Motorcycle Lift Tool,https://www2.vtwinmfg.com/mini-motorcycle-lift-tool-16-0529.html,$212.32,,All models,"Use the lift on the table or floor to free wheels. 1000 lb capacity with rubber padded top. Mini bike life tool has a wide stance and fully rubberized top plate, features Road Warrior bright orange finish with a rubber padded top. V-Twin exclusive!",1 - EA,,Motorshop,Imported,1289,16-0530 - Replacement Threaded Lift Rod,,"{""Measurements"": ""Lowered Height: 3-1/2\"" Max Raised Height: 16\"" Length: 17-1/2\"""", ""Lowered Height: 3-1/2\"""": ""Max Raised Height: 16\"""", ""Other Notes"": ""Width: 5-9/10\""""}",product_page,
16-0529,Mini Motorcycle Lift Tool,https://www2.vtwinmfg.com/mini-motorcycle-lift-tool-16-0529.html,$212.32,,All models,"Use the lift on the table or floor to free wheels. 1000 lb capacity with rubber padded top. Mini bike life tool has a wide stance and fully rubberized top plate, features Road Warrior bright orange finish with a rubber padded top. V-Twin exclusive!",1 - EA,,Motorshop,Imported,1289,16-0530 - Replacement Threaded Lift Rod,,"{""Measurements"": ""Lowered Height: 3-1/2\"" Max Raised Height: 16\"" Length: 17-1/2\"""", ""Lowered Height: 3-1/2\"""": ""Max Raised Height: 16\"""", ""Other Notes"": ""Width: 5-9/10\""""}",product_page,
23-9187,Handlebar Master Cylinder Cover Chrome,https://www2.vtwinmfg.com/handlebar-master-cylinder-cover-chrome-3.html,$12.47,45004-85,FLT 1985-1995 | FLST 1986-1995 | XL 1985-1995 | FXST 1985-1995 | FXR 1985-1994 | FXD 1991-1995,Smooth style master cylinder chrome cover for front or rear master cylinder. Order screws and gasket separately.,1 - EA,,Edart,Imported,266,,,,product_page,
28-2005,Rear Master Cylinder Rubber Boot,https://www2.vtwinmfg.com/rear-master-cylinder-rubber-boot-6.html,$10.69,40922-87A,FXD 1991-2017 | FLT 1987-UP | FXST 1987-2017 | FLST 1987-2017 | XL 1987-2003,Rear master cylinder rubber boot.,1 - EA,,V-Twin,USA,259,,,,product_page,
24-0602,Bolt Set for Front Brake Caliper Dual Disc Chrome,https://www2.vtwinmfg.com/sportster_1952_up/brake/caliper.html/bolt-set-for-front-brake-caliper-dual-disc-chrome.html,$31.07,44173-77,FX 1980-1983 | XL 1978-1983 | FX 1978-1983,Chrome bolt set for front brake caliper comes in a set of 4.,1 - SET,,V-Twin,Imported,606,,,"{""Location"": ""Front"", ""Style"": ""Allen""}",product_page,
16-1784,One Man Brake Bleeder,https://www2.vtwinmfg.com/one-man-brake-bleeder.html,$24.39,,All models,The one man brake bleeder includes tubing and canister plus complete instructions.,1 - EA,,Lisle Corp.,USA,1310,,,,product_page,
22-0401,Chrome Hydraulic Brake Control Kit,https://www2.vtwinmfg.com/chrome-hydraulic-brake-control-kit.html,$196.51,,FL 1958-1969,"Kit includes chrome brake pedal with bushing, plunger assembly, mount plate, spring, master cylinder spacer, and zinc clevis pins. Requires footboard mount kit to install footboards on forward brake kits.",1 - KIT,Chrome,V-Twin,Imported,596,23-0100 - Rear Brake Pedal Chrome 23-0115 - Brake Plunger Assembly Chrome 23-0101 - Brake Pedal Mount Plate Rear Chrome 23-1742 - Chrome Master Cylinder Spacer 22-0747 - Zinc Hydraulic Brake Control Kit,Required to use with #27-1721 Replica Footboard Mount       Bracket Kit Black.,"{""Material"": ""Steel""}",product_page,
23-1432,FXRP Brake Pedal Assembly,https://www2.vtwinmfg.com/fxrp-brake-pedal-assembly.html,$535.35,,FXRP 1982-1994,"FXRP brake pedal assembly is a partial kit and includes a chrome steel pedal, with zinc plated mounts and black footboard brackets. *NOTE: Does not include the footboards and shift lever.",1 - KIT,Chrome,V-Twin,Imported,,"23-1683 - FXRP Brake Pedal Chrome 23-0037 - Long Brake Clevis Pin Zinc Plated 23-1684 - FXRP Brake Pivot 23-0391 - 11-1/2"" Front Razor Brake Disc",,,product_page,
23-0138,FXR Brake Pedal Chrome,https://www2.vtwinmfg.com/fxr-brake-pedal-alloy.html,$150.22,42523-82,FXR 1982-1994,FXR brake pedal features a chrome finish. *NOTE: Includes the clevis with pin.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                *NOTE: For FXR mid control applications.,1 - EA,Chrome,V-Twin,Imported,240,,"Suggested to use with #23-0030 FXR Rear Brake Clevis Zinc   Plated, which is the short piston rod. Suggested to use with #23-0039 FXR Pedal Rod End Kit Zinc   Plated, which is the long piston rod.",,product_page,
23-0807,Piston Rebuild Kit for Rear Brake Caliper,https://www2.vtwinmfg.com/piston-rebuild-kit-for-rear-brake-caliper.html,$92.72,41700477,FXST 2018-UP | FLST 2018-UP,"Piston rebuild kit for rear brake caliper, includes the clevis.",1 - KIT,,V-Twin,Imported,,,,"{""Location"": ""Rear""}",product_page,
12-0054,FXR Brake Pedal Clevis Pin,https://www2.vtwinmfg.com/clevis-pin.html,$17.89,222,FXR 1982-1986,"Clevis pin fits 1982-1986 FXR brake pedal assemblies. The pin is serrated on the shoulder end. Sold as a pack of 5. *NOTE: Accepts cotter pin, (OEM #515) not included.",5 - PK,,V-Twin,USA,240,,,,product_page,
23-0586,Brake Pedal Cylinder Plunger,https://www2.vtwinmfg.com/brake-pedal-cylinder-plunger.html,$20.87,42436-87,XL 1987-2003,Brake pedal cylinder plunger.,1 - EA,,Edart,Imported,912,,,,product_page,
16-0102,Wheel Lug Allen Wrench Tool,https://www2.vtwinmfg.com/wheel-lug-allen-wrench-tool.html,$18.95,11815-35,EL 1936-1940 | FX 1971-1972 | FL 1941-1972,"Wheel lug allen wrench tool, 7/16"".",1 - EA,,Motorshop,Imported,595,,,"{""Measurements"": ""Length: 7.312\"" Width: 3.187\"""", ""Length: 7.312\"""": ""Width: 3.187\""""}",product_page,
28-2005,Rear Master Cylinder Rubber Boot,https://www2.vtwinmfg.com/rear-master-cylinder-rubber-boot-6.html,$10.69,40922-87A,FXD 1991-2017 | FLT 1987-UP | FXST 1987-2017 | FLST 1987-2017 | XL 1987-2003,Rear master cylinder rubber boot.,1 - EA,,V-Twin,USA,259,,,,product_page,
24-0541,Chrome 35mm Fork Slider Set,https://www2.vtwinmfg.com/sportster_1952_up/front_fork/sliders.html/chrome-35mm-fork-slider-set.html,$381.96,,XL 1977-1983 | FX 1977-1983,Chrome 35mm fork slider set is for dual disc. Sold as a pair.,1 - SET,,V-Twin,Imported,606,,Drain assembly lube. We recommend 20 weight oil for average conditions.,,product_page,
