id,name,vendor_sku,change_to
83021,Cap Headbolt Cover Chrome,9002-4,Engine- cover
57232,"CARBON FIBER MID FF 19"" CVO 23-25 INVERTED FRONT END",563-04025,Front fender
57179,"CARBON FIBER MID FRNT FNDR 19"" CHALLENGER/POWERPLUS CHIEFTIAN",563-04201,Front fender
55603,"CARBON FIBER MID-LENGTH FRONT 19"" `24 CVO",563-04014,Front fender
57237,CARBON FIBER RR FNDR NO LIGHTS CHALLENGER/POWERPLUS CHIEFTIAN,563-04202,Rear Fender
57234,"CARBON FIBER SHORT FF 19"" CHALLENGER/POWERPLUS CHIEFTIAN",563-04200,Front fender
57228,"CARBON FIBER SHORT FF 19"" CVO 23-25 INVERTED FRONT END",563-04023,Front fender
57230,"CARBON FIBER SHORT FF 21"" CVO 23-25 INVERTED FRONT END",563-04024,Front fender
92792,Castle Nut 7/16 inch-20 x 29/64 inch x 5/8 inch,37-4085,General hardware
92558,Castle Nut with Flange,37-0564,General hardware
90065,Chain Oiler Hose Clamp,3169-1,Drive chain- hardware
61185,Chain Oiler Screw,12-0771,Drive chain- hardware
70712,Chicago Lock Key Switch,32-1556,Ignition switch
65681,Choppa-Stoppa Wheel Inner Lever,23-5002,Remove
65680,Choppa-Stoppa Wheel Outer Lever,23-5001,Remove
69637,Chrome 1-1/4 inch Universal Mount Clamp Set,31-0697,
82704,Chrome Acorn Stem Nut,8008-1,
82904,Chrome Allen Type Disc Screw,8758-10,
82905,Chrome Allen Type Front Disc Screw,8759-5,
96062,Chrome Aluminum Head Washers,8215-18,
78307,Chrome Billet Nut Set Coarse Thread,44-0683,
78306,Chrome Billet Nut Set Fine Thread,44-0682,
96113,Chrome Bolt for Front Disc 7/16 inch-14 inch X 1-1/4 inch,8847-5,Brake hardware
75576,Chrome Caliper Support Bar Bolt Set,37-8135,Brake caliper hardware
79384,Chrome Coat Hook,48-1397,
83245,Chrome Countersunk Washer Set 1/4 inch,9834-8,
83247,Chrome Countersunk Washer Set 3/8 inch,9836-5,
83246,Chrome Countersunk Washer Set 5/16 inch,9835-8,
79902,Chrome Cross Bar Front Speaker Grill Set,49-0736,Audio speaker grill
79903,Chrome Cross Bar Front Speaker Grill Set,49-0737,Audio speaker grill
79153,Chrome Deco Skull,48-0302,
77651,Chrome Dress Up Kit,42-0947,Engine- cover
77816,Chrome Dress Up Kit,42-1435,Engine- cover
77623,Chrome Dress Up Kit,42-0799,Engine- cover
77628,Chrome Dress Up Kit,42-0846,Engine- cover
92977,Chrome Eye Bolt Set,37-9024,
89940,Chrome Front Pipe Clamp,31-2104,exhaust
75356,Chrome G Clamp,37-1500,
75357,Chrome G Clamp,37-1501,
82748,Chrome Generator Mounting Screws,8151-2,Generator hardware
82750,Chrome Generator Mounting Screws,8153-2,Generator hardware
82773,Chrome Generator Mount Screws,8207-2,Generator hardware
82779,Chrome Headbolt,8217-18-45,
75269,Chrome ISO Mount Cover Set,37-0877,
80436,Chrome Milled Slots Speaker Grill Set,50-0010,
79577,Chrome Nose Cover Towel Bar,48-1887,
79591,Chrome Nose Cover Towel Bar,48-1903,
68604,Chrome Plated Stem Nut Kit,2937-5,
