sku,product_name,product_url,price,oem_no,fitment_raw,description,uom,finish,manufacturer,origin,catalog_pages,replacement_items,tech_note,extra_attributes,source,error
41-0194,Spectro Heavy Duty DOT 5 Silicone Brake Fluid,https://www2.vtwinmfg.com/dot-5-brake-fluid.html,$53.29,,All models,Spectro heavy duty golden blend DOT 5 silicone brake fluid comes in a 12 ounce bottle. Designed to surpass all DOT 5 specifications and requirements. Heavy duty DOT 5 is the ideal brake fluid for all Twins specifying a DOT 5 fluid but its better because this fluid beats spec in every way. Meets full OEM requirements and should be used according to the manufacturer's instructions. This fluid is non-hygroscopic and will not absorb water or harm painted surfaces. Specially formulated for all applications. **NOTE: Do not use when DOT 5.1 or DOT 4 fluid is specified.,1 - EA,,Spectro Oils,USA,1288,,,,product_page,
16-1736,Timer Device Tool,https://www2.vtwinmfg.com/timer-device.html,$25.44,,FL 1970-1978 | FX 1971-1978 | XL 1970-1978,"This E-Z timer device tool bolts inside the primary cover. After installation, only inspection oval of outer primary has to be removed for accurate timing.",1 - EA,,V-Twin,USA,1302,,,,product_page,
23-5001,Choppa-Stoppa Wheel Outer Lever,https://www2.vtwinmfg.com/choppa-stoppa-wheel-outer-lever.html,$45.36,,Custom application,Choppa-Stoppa wheel outer lever.,1 - EA,,V-Twin,Imported,,,,,product_page,
34-1174,Billet Velocity Stack Chrome,https://www2.vtwinmfg.com/billet-velocity-stack-chrome.html,$211.70,,FXST 1992-2017 | FXR 1992-1994 | FLST 1992-2017 | FXD 1992-2017,Billet chrome velocity stack features built in mount brackets and includes breather set for S & S super E.,1 - KIT,Chrome,Wyatt Gatling,Imported,,40-0346 - Chrome Acorn Billet Canister Set 34-1111 - Shorty Carburetor Screen 34-1139 - Air Cleaner Carburetor Support,,,product_page,
16-0650,Primary Drive Lock Tool with Step,https://www2.vtwinmfg.com/primary-drive-lock-tool-with-step.html,$22.57,41214,All models,Primary drive lock tool with step is used as a wedge type device to hold the primary drive gear while the proper torque is applied. Tool is constructed of nylon.,1 - EA,,Motorshop,Imported,1306,,,,product_page,
37-9188,Mirror Relocation Kit,https://www2.vtwinmfg.com/mirror-relocation-kit.html,$23.76,91907-87,"All 1965-UP models to relocate mirrors 2"" higher","Mirror relocation kit is used to extend mirror stems 2"" higher on all models. The shoulder to the end of the threads measures 1-9/16"" and the overall length is 2-13/16"". The outer diameter of the threaded end is .302"" and the outer diameter of the other end is .5"".",1 - KIT,,V-Twin,Imported,1200,37-9397 - Black Phosphate Mirror Relocation Kit,,,product_page,
11-3126,,,,,,,,,,,,,,,not_found,
12-0551,Clutch Hub Nut Kit,https://www2.vtwinmfg.com/clutch-hub-nut-kit.html,$25.38,37581-52,XLH 1967-1970 | XLCH 1970-1970,Clutch hub nut kit is a 6 piece set with 3 large hub stud nuts and 3 small hub stud nuts.,1 - KIT,,Motorshop,Imported,896,,Required to use with #18-3157 clutch hub,,product_page,
48-1972,Drain Oil Patches,https://www2.vtwinmfg.com/drain-oil-patches.html,$8.87,,All,"Drain oil patches are gold, red, and black. Patch can be ironed or sewn on. Sold as a pair.                                                           *NOTE: When using an electric iron to apply the patches to clothing, NEVER use steam. Patch may be sewn on after being attached with it's adhesive.",1 - SET,,V-Twin,Imported,976,,,"{""Measurements"": ""Length: 3\"" Width: 2\"""", ""Length: 3\"""": ""Width: 2\""""}",product_page,
31-5302,,,,,,,,,,,,,,,not_found,
16-0529,Mini Motorcycle Lift Tool,https://www2.vtwinmfg.com/mini-motorcycle-lift-tool-16-0529.html,$212.32,,All models,"Use the lift on the table or floor to free wheels. 1000 lb capacity with rubber padded top. Mini bike life tool has a wide stance and fully rubberized top plate, features Road Warrior bright orange finish with a rubber padded top. V-Twin exclusive!",1 - EA,,Motorshop,Imported,1289,16-0530 - Replacement Threaded Lift Rod,,"{""Measurements"": ""Lowered Height: 3-1/2\"" Max Raised Height: 16\"" Length: 17-1/2\"""", ""Lowered Height: 3-1/2\"""": ""Max Raised Height: 16\"""", ""Other Notes"": ""Width: 5-9/10\""""}",product_page,
48-2605,V-Twin Metal Box,https://www2.vtwinmfg.com/v-twin-metal-box.html,$21.99,,Custom application,"Top load metal box with V-Twin's logo. Measures 12"" x 6"" x 6"".",1 - EA,,V-Twin,Imported,,,,,product_page,
33-0908,LED Marker Lamp Pod Set with 6 Pods,https://www2.vtwinmfg.com/led-marker-lamp-pod-set-with-6-pods.html,$139.90,,Custom application,Six pod set features a seven color changeable array by push button switch.,1 - KIT,,Wyatt Gatling,Imported,1163,,,"{""Color"": ""Assorted"", ""Style"": ""Pod""}",product_page,
11-3120,"95"" Big Bore Twin Cam Piston Ring Set .020",https://www2.vtwinmfg.com/95-big-bore-twin-cam-piston-ring-set-020-1.html,$106.93,,,"Moly piston ring set is for 4.0"" bore and is .020 oversize . Set includes two 1/16"" compression rings and one 3.0mm oil ring.",1 - SET,,Hastings Rings,USA,,,,"{""Size"": "".020""}",product_page,
34-1473,Wyatt Gatling Round Mesh Air Cleaner Black,https://www2.vtwinmfg.com/wyatt-gatling-round-mesh-air-cleaner-black-1.html,$80.62,,Custom application for S&S E Carburetor,"Black round mesh air cleaner includes element and is for shorty 1-7/8"" carburetors, S&S and OKO types.",1 - EA,,Wyatt Gatling,Imported,381,,Suggested to use with #34-0079 Round Air Filter Element.,"{""Measurements"": ""Length: 5-1/2\"" Diameter: 5-1/2\"""", ""Length: 5-1/2\"""": ""Diameter: 5-1/2\"""", ""Style"": ""Round""}",product_page,
41-0119,Nevr-Dull Wadding Polish,https://www2.vtwinmfg.com/nevr-dull-wadding-polish.html,$23.69,,All models,"Looking for a quality cleaner for all that chrome? Than you will want to try Nevr-Dull wadding polish. This is a cotton wadding to clean and polish chrome aluminum and brass. To use, you simply tear off a small wad and rub the surface to be cleaned. You then polish with a dry cloth. The polish leaves a beautiful showroom finish with a protective film. Polish comes in a 5 ounce jar.                                                                                                                                                                                                                                                                                                   *NOTE: Not for sale in California.",1 - EA,,George Basch,USA,1287,,,,product_page,
33-2014,"7"" Headlamp Assembly Seal Beam",https://www2.vtwinmfg.com/7-headlamp-assembly-seal-beam.html,$112.39,,FL 1960-1984,"7"" Headlamp unit seal beam 12 volt. Includes Beck 12 volt/ 60/55 watt sealed beam bulb.",1 - KIT,,Wyatt Gatling,Imported,1105,"33-3072 - 7"" Round 12 Volt Headlamp Sealed Beam Bulb 33-1458 - 7"" Headlamp Housing Assembly",,"{""Style"": ""Round"", ""Type"": ""12 volt""}",product_page,
41-0194,Spectro Heavy Duty DOT 5 Silicone Brake Fluid,https://www2.vtwinmfg.com/dot-5-brake-fluid.html,$53.29,,All models,Spectro heavy duty golden blend DOT 5 silicone brake fluid comes in a 12 ounce bottle. Designed to surpass all DOT 5 specifications and requirements. Heavy duty DOT 5 is the ideal brake fluid for all Twins specifying a DOT 5 fluid but its better because this fluid beats spec in every way. Meets full OEM requirements and should be used according to the manufacturer's instructions. This fluid is non-hygroscopic and will not absorb water or harm painted surfaces. Specially formulated for all applications. **NOTE: Do not use when DOT 5.1 or DOT 4 fluid is specified.,1 - EA,,Spectro Oils,USA,1288,,,,product_page,
