"product_id","sku","brand","source_vendor","name","image_url_status","image_url_content_type","good_catalog_media_remaining","classification"
"2291","06510647","DRAG SPECIALTIES","PU","Black Vinyl Idle Cable - 36-1/2""","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"28966","12040048","DRAG SPECIALTIES","PU","Rear Drive Belt - 132-Tooth - 1""","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"29942","02140583","DRAG SPECIALTIES","PU","Axle Kit - Rear - Chrome - '52-'78 Harley-Davidson","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"13748","17412701","DRAG SPECIALTIES","PU","Universal Brake Line - Black - 10""","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"27711","20401302","Custom Dynamics","PU","MagicFLEX®2 Light Sticks","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"28683","17413840","DRAG SPECIALTIES","PU","Brake Line - Front - Black - +6""- FXDWG '12-'17","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"968","18020326","BASSANI XHAUST","PU","2x2 Chrome Headpipes","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"8149","09230692","DRAG SPECIALTIES","PU","Connecting Rod Assembly - Big Twin","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"8518","06620826","FAT BAGGERS INC.","PU","Installation Kit - +8"" - Black","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"21694","17413998","DRAG SPECIALTIES","PU","Brake Line - Front (Upper) - Black - +8"" with ABS","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"35812","02012435","SLYFOX","PU","Wheel - Track Pro - Front - Dual Disc/without ABS - Machined - 21x3.5","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"33474","06620290","MAGNUM SHIELDING","PU","Black Pearl™ Upper Handlebar Installation Kit - 18""-20"" - '17-'19 FLHR","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"33753","06620275","MAGNUM SHIELDING","PU","Black Pearl™ Upper Handlebar Installation Kit - 18""-20"" - '17-'20 FLTR","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"8222","06020587","DRAG SPECIALTIES","PU","Handlebar Riser & Top Clamp Kit - 3"" - Buffalo - Black","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"9508","22110185","Koso North America","PU","HD-05 Multifunction Meter - Silver","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"33782","06620304","MAGNUM SHIELDING","PU","XR Handlebar Installation Kit - 12""-14"" Ape Hangers - '08-'13 FLTR - Black","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
