row_id,catalog_source,source_page,section,fits_raw,hd_model_code,year_start,year_end,note,cable_type,variant,sku,sku_nodash,oem_number,length,elbow_or_adjuster,travel,cruise_ready,catalog_unified_id,catalog_unified_name,already_has_oem
23,oldbook_2026,890,DRESSER (5-SPEED),For 95 FLHT,FLHT,1995,1995,,idle,braided,0651-0123,06510123,56328-90,"38""",70°,"4 3/4""",N,14136,"Stainless Braided Idle Cable - 38""",yes
24,oldbook_2026,890,DRESSER (5-SPEED),For 95 FLHT,FLHT,1995,1995,,idle,black_vinyl,0651-0160,06510160,56328-90,"38""",70°,"4 3/4""",N,3259,"Black Vinyl Idle Cable - 38""",yes
25,oldbook_2026,890,DRESSER (5-SPEED),For 84-87 FLHT,FLHT,1984,1987,,throttle,braided,0650-0313,06500313,56327-81B,"42 1/2""",70°,"3 3/4""",,14161,"Stainless Braided Throttle Cable - 42-1/2""",no
26,oldbook_2026,890,DRESSER (5-SPEED),For 84-87 FLHT,FLHT,1984,1987,,throttle,black_vinyl,0650-0350,06500350,56327-81B,"42 1/2""",70°,"3 3/4""",,14472,"Black Vinyl Throttle Cable - 42-1/2""",no
27,oldbook_2026,890,DRESSER (5-SPEED),For 84-87 FLHT,FLHT,1984,1987,,idle,braided,0651-0126,06510126,56328-81B,"42 1/2""",70°,"4""",N,24,"Stainless Braided Idle Cable - 42-1/2""",no
28,oldbook_2026,890,DRESSER (5-SPEED),For 84-87 FLHT,FLHT,1984,1987,,idle,black_vinyl,0651-0163,06510163,56328-81B,"42 1/2""",70°,"4""",N,14277,"Black Vinyl Idle Cable - 42-1/2""",no
29,oldbook_2026,890,DRESSER (5-SPEED),For 83 FLHT,FLHT,1983,1983,,throttle,braided,0650-0307,06500307,56324-81C,"32 1/4""",45°,"3""",,3243,"Stainless Braided Throttle Cable - 32-1/2""",no
30,oldbook_2026,890,DRESSER (5-SPEED),For 83 FLHT,FLHT,1983,1983,,throttle,black_vinyl,0650-0344,06500344,56324-81C,"32 1/4""",45°,"3""",,3098,"Black Vinyl Throttle Cable - 32-1/2""",no
31,oldbook_2026,890,DRESSER (5-SPEED),For 83 FLHT,FLHT,1983,1983,,idle,braided,0651-0118,06510118,56323-81C,"32 1/4""",45°,"4""",N,3199,"Stainless Braided Idle Cable - 32-1/2""",no
32,oldbook_2026,890,DRESSER (5-SPEED),For 83 FLHT,FLHT,1983,1983,,idle,black_vinyl,0651-0155,06510155,56323-81C,"32 1/4""",45°,"4""",N,14253,"Black Vinyl Idle Cable - 32-1/2""",no
33,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHTC,FLHTC,1996,1998,,throttle,braided,0650-0413,06500413,56327-96,"38""",70°,"5""",,14480,"Stainless Braided Throttle Cable - 38""",yes
34,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHTC,FLHTC,1996,1998,,throttle,black_vinyl,0650-0406,06500406,56327-96,"38""",70°,"5""",,14477,"Black Vinyl Throttle Cable - 38""",yes
35,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHTC,FLHTC,1996,1998,,idle,braided,0651-0244,06510244,56328-96,"38""",70°,"4 3/4""",N,8064,"Stainless Braided Idle Cable - 38""",yes
36,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHTC,FLHTC,1996,1998,,idle,black_vinyl,0651-0237,06510237,56328-96,"38""",70°,"4 3/4""",N,14148,"Black Vinyl Idle Cable - 38""",yes
37,oldbook_2026,890,DRESSER (5-SPEED),For 90-95 FLHTC,FLHTC,1990,1995,,throttle,braided,0650-0312,06500312,56327-90,"38""",70°,"5""",,456,"Stainless Braided Throttle Cable - 38""",yes
38,oldbook_2026,890,DRESSER (5-SPEED),For 90-95 FLHTC,FLHTC,1990,1995,,throttle,black_vinyl,0650-0349,06500349,56327-90,"38""",70°,"5""",,3175,"Black Vinyl Throttle Cable - 38""",yes
39,oldbook_2026,890,DRESSER (5-SPEED),For 90-95 FLHTC,FLHTC,1990,1995,,idle,braided,0651-0123,06510123,56328-90,"38""",70°,"4 3/4""",N,14136,"Stainless Braided Idle Cable - 38""",yes
40,oldbook_2026,890,DRESSER (5-SPEED),For 90-95 FLHTC,FLHTC,1990,1995,,idle,black_vinyl,0651-0160,06510160,56328-90,"38""",70°,"4 3/4""",N,3259,"Black Vinyl Idle Cable - 38""",yes
41,oldbook_2026,890,DRESSER (5-SPEED),For 84-89 FLHTC,FLHTC,1984,1989,,throttle,braided,0650-0313,06500313,56327-81B,"42 1/2""",70°,"3 3/4""",,14161,"Stainless Braided Throttle Cable - 42-1/2""",no
42,oldbook_2026,890,DRESSER (5-SPEED),For 84-89 FLHTC,FLHTC,1984,1989,,throttle,black_vinyl,0650-0350,06500350,56327-81B,"42 1/2""",70°,"3 3/4""",,14472,"Black Vinyl Throttle Cable - 42-1/2""",no
43,oldbook_2026,890,DRESSER (5-SPEED),For 84-89 FLHTC,FLHTC,1984,1989,,idle,braided,0651-0126,06510126,56328-81B,"42 1/2""",70°,"4""",N,24,"Stainless Braided Idle Cable - 42-1/2""",no
44,oldbook_2026,890,DRESSER (5-SPEED),For 84-89 FLHTC,FLHTC,1984,1989,,idle,black_vinyl,0651-0163,06510163,56328-81B,"42 1/2""",70°,"4""",N,14277,"Black Vinyl Idle Cable - 42-1/2""",no
45,oldbook_2026,890,DRESSER (5-SPEED),For 83 FLHTC,FLHTC,1983,1983,,throttle,braided,0650-0307,06500307,56324-81C,"32 1/4""",45°,"3""",,3243,"Stainless Braided Throttle Cable - 32-1/2""",no
46,oldbook_2026,890,DRESSER (5-SPEED),For 83 FLHTC,FLHTC,1983,1983,,throttle,black_vinyl,0650-0344,06500344,56324-81C,"32 1/4""",45°,"3""",,3098,"Black Vinyl Throttle Cable - 32-1/2""",no
47,oldbook_2026,890,DRESSER (5-SPEED),For 83 FLHTC,FLHTC,1983,1983,,idle,braided,0651-0118,06510118,56323-81C,"32 1/4""",45°,"4""",N,3199,"Stainless Braided Idle Cable - 32-1/2""",no
48,oldbook_2026,890,DRESSER (5-SPEED),For 83 FLHTC,FLHTC,1983,1983,,idle,black_vinyl,0651-0155,06510155,56323-81C,"32 1/4""",45°,"4""",N,14253,"Black Vinyl Idle Cable - 32-1/2""",no
49,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHTC/I,FLHTC/I,1996,1998,,throttle,braided,0650-0301,06500301,56357-96,"41 3/4""",70°,"5 1/4""",,14338,"Stainless Braided Throttle Cable - 41-3/4""",yes
50,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHTC/I,FLHTC/I,1996,1998,,throttle,black_vinyl,0650-0338,06500338,56357-96,"41 3/4""",70°,"5 1/4""",,3096,"Black Vinyl Throttle Cable - 41-3/4""",yes
51,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHTC/I,FLHTC/I,1996,1998,,idle,black_vinyl,0651-0146,06510146,56387-96,"41 3/4""",70°,"4 3/4""",N,3185,"Black Vinyl Idle Cable - 41-3/4""",yes
52,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHTCU,FLHTCU,1996,1998,,throttle,braided,0650-0413,06500413,56327-96,"38""",70°,"5""",,14480,"Stainless Braided Throttle Cable - 38""",yes
53,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHTCU,FLHTCU,1996,1998,,throttle,black_vinyl,0650-0406,06500406,56327-96,"38""",70°,"5""",,14477,"Black Vinyl Throttle Cable - 38""",yes
54,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHTCU,FLHTCU,1996,1998,,idle,black_vinyl,0651-0238,06510238,56351-96,"38 1/16""",70°,"4 3/4""",Y,8063,"Black Vinyl Idle Cable - 38-1/16""",yes
55,oldbook_2026,890,DRESSER (5-SPEED),For 90-95 FLHTCU,FLHTCU,1990,1995,,throttle,braided,0650-0312,06500312,56327-90,"38""",70°,"5""",,456,"Stainless Braided Throttle Cable - 38""",yes
